striker,format,matches,innings,runs,balls_faced,dismissals,dot_balls,fours,sixes,average,strike_rate,dot_pct,boundary_pct
DB Sharma,ODI,95,3444,2387,3351,64,1801,214,17,37.3,71.23,53.75,6.89
DR Smith,IPL,88,1803,2385,1764,81,787,245,117,29.44,135.2,44.61,20.52
KIC Asalanka,ODI,66,2720,2375,2658,62,1323,196,56,38.31,89.35,49.77,9.48
Shoaib Malik,PSL,87,1894,2350,1834,75,556,171,81,31.33,128.14,30.32,13.74
AC Kerr,ODI,74,3060,2346,2990,61,1567,234,5,38.46,78.46,52.41,7.99
HM Nicholls,ODI,85,3003,2337,2926,68,1534,219,19,34.37,79.87,52.43,8.13
SR Tendulkar,IPL,78,2044,2334,1948,71,773,296,29,32.87,119.82,39.68,16.68
AT Carey,Test,46,3589,2333,3581,65,2329,250,17,35.89,65.15,65.04,7.46
AD Hales,ODI,65,2483,2330,2438,61,1289,270,45,38.2,95.57,52.87,12.92
Abdul Razzaq,ODI,100,2689,2327,2604,74,1334,174,67,31.45,89.36,51.23,9.25
MDKJ Perera,T20I,91,1803,2307,1737,91,626,224,72,25.35,132.82,36.04,17.04
Mohammad Ashraful,ODI,113,3465,2301,3345,107,2014,241,15,21.5,68.79,60.21,7.65
Shakib Al Hasan,T20I,110,1929,2295,1874,100,675,234,49,22.95,122.47,36.02,15.1
ME Trescothick,Test,28,4026,2291,4013,47,2958,336,20,48.74,57.09,73.71,8.87
RA Tripathi,IPL,98,1707,2291,1662,86,603,229,85,26.64,137.85,36.28,18.89
Sarfraz Ahmed,ODI,89,2673,2289,2601,70,1121,174,12,32.7,88.0,43.1,7.15
KJ Coetzer,ODI,63,2826,2280,2776,58,1676,290,30,39.31,82.13,60.37,11.53
MM Ali,ODI,110,2418,2278,2357,97,1180,199,71,23.48,96.65,50.06,11.46
SE Marsh,Test,38,5173,2265,5165,65,3986,266,8,34.85,43.85,77.17,5.3
Bismah Maroof,T20I,102,2526,2259,2438,90,999,193,0,25.1,92.66,40.98,7.92
Abhishek Sharma,IPL,84,1406,2256,1327,77,460,215,133,29.3,170.01,34.66,26.22
MP O'Dowd,T20I,85,1919,2256,1837,82,714,237,56,27.51,122.81,38.87,15.95
SD Hope,Test,45,5171,2247,5161,84,3995,260,10,26.75,43.54,77.41,5.23
Nizakat Khan,T20I,110,1914,2246,1851,104,675,183,76,21.6,121.34,36.47,13.99
TG Southee,Test,98,2723,2245,2715,145,1767,216,98,15.48,82.69,65.08,11.57
AT Carey,ODI,77,2533,2245,2476,66,1186,213,24,34.02,90.67,47.9,9.57
Imrul Kayes,ODI,72,3268,2242,3160,71,1890,219,36,31.58,70.95,59.81,8.07
DR Martyn,ODI,73,2970,2239,2907,58,1519,202,8,38.6,77.02,52.25,7.22
NLTC Perera,ODI,128,2045,2233,1980,116,842,168,83,19.25,112.78,42.53,12.68
R Powell,T20I,101,1661,2233,1575,88,592,135,148,25.38,141.78,37.59,17.97
P Nissanka,ODI,66,2674,2232,2611,60,1487,286,24,37.2,85.48,56.95,11.87
TL Seifert,T20I,82,1567,2228,1523,74,574,208,107,30.11,146.29,37.69,20.68
A Flintoff,Test,38,3689,2228,3680,62,2672,277,50,35.94,60.54,72.61,8.89
GD Phillips,T20I,83,1594,2226,1559,72,515,162,107,30.92,142.78,33.03,17.25
Mahmudullah,T20I,118,1960,2223,1887,91,680,166,71,24.43,117.81,36.04,12.56
M du Preez,ODI,81,3194,2223,3155,66,1752,215,5,33.68,70.46,55.53,6.97
HH Pandya,T20I,107,1596,2221,1531,80,518,161,122,27.76,145.07,33.83,18.48
Soumya Sarkar,ODI,68,2377,2213,2306,65,1247,253,55,34.05,95.97,54.08,13.36
S Dhawan,Test,33,3365,2208,3362,57,2270,299,9,38.74,65.68,67.52,9.16
HC Knight,T20I,107,1862,2206,1809,77,629,237,36,28.65,121.95,34.77,15.09
