striker,format,matches,innings,runs,balls_faced,dismissals,dot_balls,fours,sixes,average,strike_rate,dot_pct,boundary_pct
Y Divekar,T20I,3,18,13,18,2,11,0,1,6.5,72.22,61.11,5.56
Xiuli Jin,T20I,3,33,13,32,3,22,0,0,4.33,40.62,68.75,0.0
R Rohmalia,T20I,1,15,13,15,1,6,1,0,13.0,86.67,40.0,6.67
MJ Bulow,Test,1,61,13,61,2,54,2,0,6.5,21.31,88.52,3.28
TK Canning,ODI,2,25,13,25,2,15,0,0,6.5,52.0,60.0,0.0
PKM Mahawattage,T20I,4,32,13,31,1,18,0,0,13.0,41.94,58.06,0.0
M Mavunga,ODI,4,31,13,31,3,21,1,0,4.33,41.94,67.74,3.23
Al Maseera Jahangir,T20I,4,22,13,20,4,10,1,0,3.25,65.0,50.0,5.0
M Montgomery,T20I,1,19,13,19,1,9,1,0,13.0,68.42,47.37,5.26
RR Emrit,ODI,2,35,13,35,1,25,1,0,13.0,37.14,71.43,2.86
RR Powar,Test,1,18,13,18,2,12,2,0,6.5,72.22,66.67,11.11
Syed Naqvi,T20I,5,28,13,26,4,15,0,0,3.25,50.0,57.69,0.0
Sukhdeep Singh,T20I,1,16,13,15,1,6,1,0,13.0,86.67,40.0,6.67
Niaz Ali,T20I,2,12,12,12,2,8,1,1,6.0,100.0,66.67,16.67
L Wesley,T20I,2,34,12,32,2,24,1,0,6.0,37.5,75.0,3.12
R Minz,IPL,4,20,12,19,3,11,1,0,4.0,63.16,57.89,5.26
Saee Parkhi,T20I,3,15,12,14,2,6,1,0,6.0,85.71,42.86,7.14
Asif Mehmood,PSL,1,9,12,9,1,3,0,1,12.0,133.33,33.33,11.11
Zaki Ul Hassan,T20I,3,11,12,10,1,3,1,0,12.0,120.0,30.0,10.0
NC Dodd,T20I,3,13,12,12,2,6,2,0,6.0,100.0,50.0,16.67
KOA Powell,T20I,1,14,12,14,1,8,1,0,12.0,85.71,57.14,7.14
Sadia Yousuf,T20I,10,40,12,40,5,28,0,0,2.4,30.0,70.0,0.0
DAS Gunaratne,PSL,1,11,12,11,1,5,0,1,12.0,109.09,45.45,9.09
DAJ Bracewell,IPL,1,9,12,9,0,1,1,0,12.0,133.33,11.11,11.11
Abhilash Patil,T20I,1,29,12,28,1,17,0,0,12.0,42.86,60.71,0.0
K Kartikeya,IPL,4,18,12,17,3,9,1,0,4.0,70.59,52.94,5.88
ML Schutt,Test,2,31,12,31,1,25,2,0,12.0,38.71,80.65,6.45
MH Sumra,Test,1,92,12,91,2,86,2,0,6.0,13.19,94.51,2.2
Mujeeb Ur Rahman,IPL,6,15,12,15,3,9,2,0,4.0,80.0,60.0,13.33
F Clarke,T20I,4,25,12,25,3,20,0,1,4.0,48.0,80.0,4.0
R Dhawan,ODI,2,13,12,13,1,7,1,0,12.0,92.31,53.85,7.69
SH Johnson,ODI,2,14,12,14,1,10,2,0,12.0,85.71,71.43,14.29
SHT Kandamby,T20I,2,18,12,17,2,7,0,0,6.0,70.59,41.18,0.0
JA Miranda,T20I,3,25,12,20,2,11,1,0,6.0,60.0,55.0,5.0
AR Bawne,IPL,1,12,12,12,0,4,1,0,12.0,100.0,33.33,8.33
M Mohasane,T20I,4,21,12,21,3,13,1,0,4.0,57.14,61.9,4.76
JA Duffy,ODI,5,21,12,20,1,15,2,0,12.0,60.0,75.0,10.0
GI Maiden,ODI,1,14,12,14,0,7,1,0,12.0,85.71,50.0,7.14
Abul Farhad,T20I,5,27,12,25,3,16,1,0,4.0,48.0,64.0,4.0
Dayal Joy,T20I,3,13,12,13,3,8,0,1,4.0,92.31,61.54,7.69
RA Lister,T20I,4,72,12,62,3,51,0,0,4.0,19.35,82.26,0.0
Jason Lui,T20I,1,18,12,16,0,11,2,0,12.0,75.0,68.75,12.5
Muhammad Jawadullah,T20I,4,16,12,15,2,8,1,0,6.0,80.0,53.33,6.67
O Keitsemang,T20I,8,42,12,40,6,33,1,0,2.0,30.0,82.5,2.5
Jai Prakash Yadav,ODI,4,26,12,26,2,17,0,0,6.0,46.15,65.38,0.0
E Kusuda-Nairn,T20I,4,32,12,31,3,22,0,0,4.0,38.71,70.97,0.0
Raag Kapur,T20I,3,17,12,16,2,8,1,0,6.0,75.0,50.0,6.25
Alex Carthew,T20I,2,23,12,22,1,13,0,0,12.0,54.55,59.09,0.0
Naveed Shahid,T20I,1,7,12,7,0,2,2,0,12.0,171.43,28.57,28.57
MM Penfold,ODI,7,52,12,52,6,41,0,0,2.0,23.08,78.85,0.0
Dhruv Jurel,T20I,3,23,12,23,3,14,1,0,4.0,52.17,60.87,4.35
T Vanuarua,T20I,2,12,12,12,2,8,1,1,6.0,100.0,66.67,16.67
T Thushara,IPL,4,19,12,18,2,9,0,0,6.0,66.67,50.0,0.0
MCE Manalo,T20I,1,16,12,14,1,4,0,0,12.0,85.71,28.57,0.0
GT Main,T20I,3,17,12,17,1,11,2,0,12.0,70.59,64.71,11.76
WP Myburgh,T20I,2,19,12,18,2,11,0,0,6.0,66.67,61.11,0.0
O Stewart,T20I,3,9,12,9,3,5,1,1,4.0,133.33,55.56,22.22
AJ McKay,ODI,9,47,12,47,4,37,0,0,3.0,25.53,78.72,0.0
LK O'Reilly,ODI,4,21,12,21,4,16,2,0,3.0,57.14,76.19,9.52
Sanjay Kumar Ahir,T20I,5,21,12,20,2,10,0,0,6.0,60.0,50.0,0.0
O Essiz,T20I,4,26,12,24,4,17,1,0,3.0,50.0,70.83,4.17
B Regmi,ODI,2,30,12,29,2,23,2,0,6.0,41.38,79.31,6.9
AAhan Achar,T20I,5,15,12,15,1,7,1,0,12.0,80.0,46.67,6.67
Mahnoor Akram,T20I,3,29,12,24,3,11,0,0,4.0,50.0,45.83,0.0
Ali Abbas,T20I,2,19,12,17,2,11,2,0,6.0,70.59,64.71,11.76
LN McCarthy,ODI,4,46,12,46,3,37,1,0,4.0,26.09,80.43,2.17
Santiago Iturbe,T20I,4,21,12,21,2,11,0,0,6.0,57.14,52.38,0.0
YB Rodriguez,T20I,2,20,12,19,2,12,2,0,6.0,63.16,63.16,10.53
Y Wangmo,T20I,3,12,12,12,1,4,0,0,12.0,100.0,33.33,0.0
JT Pooranakaran,T20I,6,47,12,42,3,30,0,0,4.0,28.57,71.43,0.0
SF Nhavotso,T20I,3,27,12,26,3,17,0,0,4.0,46.15,65.38,0.0
JR Medianesta,T20I,7,44,12,43,3,31,0,0,4.0,27.91,72.09,0.0
AJ Ireland,ODI,7,64,12,64,6,55,1,0,2.0,18.75,85.94,1.56
S Vasilakis,T20I,4,22,12,20,2,12,1,0,6.0,60.0,60.0,5.0
Omar Hayat,T20I,3,8,12,8,3,2,1,0,4.0,150.0,25.0,12.5
Elias Tilman,T20I,7,67,12,59,5,48,0,0,2.4,20.34,81.36,0.0
LN Onyango,T20I,3,16,12,16,1,5,0,0,12.0,75.0,31.25,0.0
MA Wood,IPL,3,10,12,8,2,4,1,1,6.0,150.0,50.0,25.0
Umar Gul,PSL,4,12,12,12,4,5,0,1,3.0,100.0,41.67,8.33
NS Poonia,ODI,6,42,12,40,6,32,0,0,2.0,30.0,80.0,0.0
Karanveer Singh,IPL,4,17,12,17,1,9,1,0,12.0,70.59,52.94,5.88
DG Nalkande,IPL,2,12,12,12,2,5,0,1,6.0,100.0,41.67,8.33
MA Algi,T20I,3,14,12,14,2,9,2,0,6.0,85.71,64.29,14.29
FC Jonas,T20I,6,35,12,34,1,23,0,0,12.0,35.29,67.65,0.0
G Urjindulam,T20I,10,75,12,67,8,59,1,0,1.5,17.91,88.06,1.49
Nanthita Boonsukham,T20I,3,10,12,10,1,4,2,0,12.0,120.0,40.0,20.0
P Danci,T20I,1,16,12,15,1,10,2,0,12.0,80.0,66.67,13.33
P Jayawickrama,Test,5,32,12,32,1,26,1,0,12.0,37.5,81.25,3.12
S Dhamala,ODI,1,40,12,38,1,28,0,0,12.0,31.58,73.68,0.0
HA Daluwatta,T20I,5,16,12,16,3,12,1,1,4.0,75.0,75.0,12.5
Zahir Khan,PSL,3,9,12,9,1,4,2,0,12.0,133.33,44.44,22.22
JMV Junior,T20I,2,15,12,13,1,7,0,1,12.0,92.31,53.85,7.69
Mohammad Irfan,PSL,11,28,12,27,6,22,2,0,2.0,44.44,81.48,7.41
NV Ojha,T20I,2,28,12,27,2,21,2,0,6.0,44.44,77.78,7.41
NT Pascal,Test,1,27,12,27,2,23,2,0,6.0,44.44,85.19,7.41
BO Shastri,T20I,3,27,12,25,4,16,0,0,3.0,48.0,64.0,0.0
N Gallagher,T20I,2,25,12,22,1,14,1,0,12.0,54.55,63.64,4.55
K Upadhyay,IPL,2,9,12,9,0,3,0,1,12.0,133.33,33.33,11.11
Rashid Khan,T20I,2,13,12,12,2,5,0,1,6.0,100.0,41.67,8.33
G Kamalini,T20I,1,12,12,12,1,6,2,0,12.0,100.0,50.0,16.67
KB Tember,T20I,3,27,12,26,3,19,0,1,4.0,46.15,73.08,3.85
S Daniel,ODI,1,29,12,28,1,20,1,0,12.0,42.86,71.43,3.57
M Vua,T20I,3,33,12,32,2,23,1,0,6.0,37.5,71.88,3.12
CJ Gannon,T20I,3,9,12,9,1,3,0,1,12.0,133.33,33.33,11.11
AA Chavan,IPL,3,11,12,11,1,5,2,0,12.0,109.09,45.45,18.18
Danish Aziz,ODI,2,22,12,20,2,15,2,0,6.0,60.0,75.0,10.0
TS Nethula,ODI,3,11,12,11,2,2,1,0,6.0,109.09,18.18,9.09
I Zigante,T20I,1,25,12,24,0,16,1,0,12.0,50.0,66.67,4.17
TW Hartley,ODI,1,9,12,9,0,2,1,0,12.0,133.33,22.22,11.11
R Achando,T20I,2,22,12,18,0,10,1,0,12.0,66.67,55.56,5.56
R Bowley,T20I,5,23,12,22,5,13,0,0,2.4,54.55,59.09,0.0
Hamza Niyaz,T20I,4,29,12,29,3,24,2,0,4.0,41.38,82.76,6.9
Usman Khan (2),ODI,1,18,12,17,1,9,1,0,12.0,70.59,52.94,5.88
E Ungerman,T20I,7,25,12,23,2,18,2,0,6.0,52.17,78.26,8.7
Haris Rauf,Test,1,34,12,34,2,23,0,0,6.0,35.29,67.65,0.0
TW Hamid,T20I,1,7,12,5,0,0,2,0,12.0,240.0,0.0,40.0
SA Akenji,T20I,5,35,12,34,4,26,1,0,3.0,35.29,76.47,2.94
D Demic,T20I,2,17,12,15,2,9,2,0,6.0,80.0,60.0,13.33
SDJJ Dima,T20I,5,38,12,37,5,27,0,0,2.4,32.43,72.97,0.0
HJH Marshall,T20I,3,14,12,14,3,6,0,0,4.0,85.71,42.86,0.0
Mohammad Ahsan,T20I,2,14,12,12,2,5,0,1,6.0,100.0,41.67,8.33
P Subrayen,Test,1,19,12,19,2,12,1,0,6.0,63.16,63.16,5.26
Rohit Limbu,T20I,1,26,12,25,1,18,1,0,12.0,48.0,72.0,4.0
EJ Richardson,ODI,1,18,12,18,1,13,2,0,12.0,66.67,72.22,11.11
EJ Carson,ODI,10,20,12,20,7,12,1,0,1.71,60.0,60.0,5.0
JJ Bumrah,T20I,7,19,12,18,4,12,2,0,3.0,66.67,66.67,11.11
HMCM Bandara,T20I,3,15,12,15,2,6,0,0,6.0,80.0,40.0,0.0
C Floyd,ODI,4,19,12,19,3,14,2,0,4.0,63.16,73.68,10.53
C Cirlig,T20I,3,37,12,35,3,26,1,0,4.0,34.29,74.29,2.86
Tanvir Islam,T20I,3,17,12,16,1,8,1,0,12.0,75.0,50.0,6.25
T Filer,T20I,4,20,12,17,4,9,1,0,3.0,70.59,52.94,5.88
M Holmes,T20I,3,32,12,23,1,12,0,0,12.0,52.17,52.17,0.0
M Grzinic,T20I,3,19,12,19,4,10,0,0,3.0,63.16,52.63,0.0
M Gaur,T20I,5,13,12,13,3,5,0,0,4.0,92.31,38.46,0.0
Merwais Shinwari,T20I,3,24,12,21,2,14,0,1,6.0,57.14,66.67,4.76
T Bukenya,T20I,1,9,12,9,0,3,0,1,12.0,133.33,33.33,11.11
DV Devjani Mutreja,T20I,7,31,12,29,5,18,0,0,2.4,41.38,62.07,0.0
ZJ van Vuuren,T20I,1,9,12,9,1,4,2,0,12.0,133.33,44.44,22.22
Sabir Ali,ODI,3,13,12,13,2,7,2,0,6.0,92.31,53.85,15.38
Zinaida Jeremiah,T20I,2,27,12,24,1,16,1,0,12.0,50.0,66.67,4.17
Imran Butt,T20I,1,6,12,6,1,2,1,1,12.0,200.0,33.33,33.33
MJ Humphreys,T20I,6,16,12,16,4,7,1,0,3.0,75.0,43.75,6.25
N Thekiso,T20I,6,49,12,44,7,33,0,0,1.71,27.27,75.0,0.0
BG Lister,ODI,4,21,12,21,1,13,1,0,12.0,57.14,61.9,4.76
NH Patel,ODI,1,6,12,6,0,0,1,0,12.0,200.0,0.0,16.67
Zou Kui,T20I,4,30,12,24,4,15,0,0,3.0,50.0,62.5,0.0
FH Edwards,T20I,6,14,11,14,1,7,1,0,11.0,78.57,50.0,7.14
A Bishnoi,T20I,8,23,11,21,4,11,0,0,2.75,52.38,52.38,0.0
NGRP Jayasuriya,ODI,2,14,11,13,1,7,1,0,11.0,84.62,53.85,7.69
Asif Shaikh,T20I,4,13,11,13,2,8,0,1,5.5,84.62,61.54,7.69
Zakir Hasan,T20I,4,21,11,19,4,11,1,0,2.75,57.89,57.89,5.26
A Bose,T20I,5,40,11,39,4,31,1,0,2.75,28.21,79.49,2.56
A Awasthi,T20I,5,55,11,50,4,40,0,0,2.75,22.0,80.0,0.0
NA Saini,T20I,2,10,11,10,0,6,2,0,11.0,110.0,60.0,20.0
XC Bartlett,ODI,2,15,11,15,2,9,0,1,5.5,73.33,60.0,6.67
Zay Hua Tan,T20I,6,48,11,39,6,29,0,0,1.83,28.21,74.36,0.0
SIP Fernando,T20I,9,19,11,19,4,8,0,0,2.75,57.89,42.11,0.0
S Immadi,T20I,6,44,11,43,3,33,0,0,3.67,25.58,76.74,0.0
Sara Vivek,T20I,2,28,11,28,2,21,1,0,5.5,39.29,75.0,3.57
AJ Hall,T20I,1,10,11,10,1,3,1,0,11.0,110.0,30.0,10.0
A Joshi,T20I,2,40,11,34,2,19,0,0,5.5,32.35,55.88,0.0
WG Jacks,PSL,2,10,11,10,2,5,0,1,5.5,110.0,50.0,10.0
Abdullah Shahid,T20I,2,17,11,17,2,9,1,0,5.5,64.71,52.94,5.88
GA Stuurman,Test,1,31,11,31,2,26,2,0,5.5,35.48,83.87,6.45
N Asuramanage,T20I,5,32,11,29,3,22,1,0,3.67,37.93,75.86,3.45
BM Tickner,T20I,4,23,11,23,2,13,0,0,5.5,47.83,56.52,0.0
S Joseph,ODI,3,16,11,14,1,8,0,1,11.0,78.57,57.14,7.14
Mazhar Khan,T20I,4,29,11,28,3,20,1,0,3.67,39.29,71.43,3.57
M Shehani,ODI,1,19,11,19,2,10,1,0,5.5,57.89,52.63,5.26
Arif Yaqoob,PSL,3,9,11,9,0,3,0,1,11.0,122.22,33.33,11.11
A Mucyodusenge,T20I,3,24,11,24,3,18,1,0,3.67,45.83,75.0,4.17
PJK Mooney,ODI,2,8,11,8,1,1,1,0,11.0,137.5,12.5,12.5
J Smits,T20I,1,19,11,17,0,8,0,0,11.0,64.71,47.06,0.0
BV Sears,ODI,2,18,11,17,0,8,0,0,11.0,64.71,47.06,0.0
SK Naidu,T20I,1,27,11,27,1,17,0,0,11.0,40.74,62.96,0.0
Fayyaz Ahmed,T20I,1,12,11,12,1,8,2,0,11.0,91.67,66.67,16.67
Zahid Shah,ODI,2,20,11,20,0,16,2,0,11.0,55.0,80.0,10.0
C Milner,T20I,1,27,11,26,1,18,0,0,11.0,42.31,69.23,0.0
R Chaudhary,T20I,9,47,11,45,4,35,0,0,2.75,24.44,77.78,0.0
GI Gokoel,T20I,3,27,11,27,2,19,1,0,5.5,40.74,70.37,3.7
Javeria Rauf,ODI,2,16,11,16,1,8,1,0,11.0,68.75,50.0,6.25
S Siegers,ODI,5,19,11,18,3,12,0,0,3.67,61.11,66.67,0.0
MG Neser,ODI,4,29,11,29,4,21,0,0,2.75,37.93,72.41,0.0
Pratis GC,ODI,1,6,11,6,0,0,1,0,11.0,183.33,0.0,16.67
CG Osborne,T20I,2,25,11,25,1,15,0,0,11.0,44.0,60.0,0.0
Mohammed Awais,T20I,3,16,11,16,3,8,1,0,3.67,68.75,50.0,6.25
J Erdenesuvd,T20I,8,105,11,99,7,88,0,0,1.57,11.11,88.89,0.0
W Uisuk,T20I,4,42,11,40,4,33,1,0,2.75,27.5,82.5,2.5
G Morales,T20I,2,44,11,38,2,21,1,0,5.5,28.95,55.26,2.63
SS Cottrell,Test,2,24,11,24,4,19,1,0,2.75,45.83,79.17,4.17
S Lamichhane,PSL,3,15,11,14,1,6,0,0,11.0,78.57,42.86,0.0
Assad Borham,T20I,3,20,11,19,2,11,1,0,5.5,57.89,57.89,5.26
Syed Tameem,T20I,1,23,11,22,0,12,0,0,11.0,50.0,54.55,0.0
JJ Nyambo,T20I,6,29,11,29,3,18,0,0,3.67,37.93,62.07,0.0
LJ Burger,ODI,6,65,11,62,5,53,1,0,2.2,17.74,85.48,1.61
S Linden,T20I,2,24,11,17,2,8,0,0,5.5,64.71,47.06,0.0
Ghulam Fatima,ODI,7,26,11,25,4,15,0,0,2.75,44.0,60.0,0.0
WK McCallan,T20I,3,15,11,15,2,8,1,0,5.5,73.33,53.33,6.67
J Buchanan,T20I,2,16,11,16,2,8,0,0,5.5,68.75,50.0,0.0
Syed Amanullah,T20I,1,14,11,13,0,7,0,1,11.0,84.62,53.85,7.69
Kelly Ndiraya,ODI,1,17,11,17,1,13,2,0,11.0,64.71,76.47,11.76
SC Kuggeleijn,ODI,1,6,11,6,0,1,1,0,11.0,183.33,16.67,16.67
J Dowling,T20I,4,19,11,19,2,8,0,0,5.5,57.89,42.11,0.0
Amit Uniyal,T20I,2,27,11,26,2,19,0,0,5.5,42.31,73.08,0.0
Owais Ahmed,T20I,3,12,11,11,0,6,2,0,11.0,100.0,54.55,18.18
RG Hart,Test,1,39,11,39,1,32,1,0,11.0,28.21,82.05,2.56
T Abdulquadri,T20I,2,16,11,14,2,10,2,0,5.5,78.57,71.43,14.29
Ananya Sarma,T20I,9,77,11,73,8,65,1,0,1.38,15.07,89.04,1.37
V Shetty,T20I,2,14,11,13,2,5,1,0,5.5,84.62,38.46,7.69
Zahid Abbas,T20I,2,15,11,15,2,7,1,0,5.5,73.33,46.67,6.67
T Henderson,IPL,2,16,11,16,1,10,0,1,11.0,68.75,62.5,6.25
Prachi Kumari,T20I,8,37,11,30,3,20,0,0,3.67,36.67,66.67,0.0
Khurram Manzoor,T20I,3,28,11,27,2,22,1,0,5.5,40.74,81.48,3.7
L Berthe,T20I,7,24,11,24,7,17,1,0,1.57,45.83,70.83,4.17
DNT Zoysa,IPL,2,9,11,9,1,3,1,0,11.0,122.22,33.33,11.11
GS Dinusha,Test,1,16,11,16,1,10,1,0,11.0,68.75,62.5,6.25
Inzamam-ul-Haq,T20I,1,16,11,15,0,9,0,1,11.0,73.33,60.0,6.67
Arslan Ahmed,T20I,2,31,11,29,2,23,1,0,5.5,37.93,79.31,3.45
AM Fernando,T20I,3,6,11,5,0,1,2,0,11.0,220.0,20.0,40.0
SV Bahutule,ODI,1,13,11,13,1,5,1,0,11.0,84.62,38.46,7.69
R Khasana,T20I,4,31,11,27,3,19,1,0,3.67,40.74,70.37,3.7
S Tuhadeleni,T20I,5,27,11,26,1,17,0,0,11.0,42.31,65.38,0.0
Najwa Akram,T20I,7,72,11,61,6,51,0,0,1.83,18.03,83.61,0.0
JO Ngoche,ODI,3,29,11,27,2,22,0,1,5.5,40.74,81.48,3.7
H Osinde,ODI,8,34,11,32,4,21,0,0,2.75,34.38,65.62,0.0
A Nimaga,T20I,3,13,11,13,2,7,1,0,5.5,84.62,53.85,7.69
MS Diawara,T20I,4,30,11,27,4,18,0,0,2.75,40.74,66.67,0.0
MS Kasprowicz,ODI,4,21,11,20,1,13,1,0,11.0,55.0,65.0,5.0
R Adotei,T20I,2,11,11,10,2,3,1,0,5.5,110.0,30.0,10.0
JJC Lawson,ODI,3,13,11,13,1,5,1,0,11.0,84.62,38.46,7.69
Phoup Srey Pheak,T20I,7,60,11,54,7,46,1,0,1.57,20.37,85.19,1.85
RM West,T20I,4,11,11,11,2,4,1,0,5.5,100.0,36.36,9.09
T Kohli,IPL,3,20,11,19,3,13,0,1,3.67,57.89,68.42,5.26
H Osinde,T20I,3,15,11,14,2,6,1,0,5.5,78.57,42.86,7.14
IK Cheema,T20I,1,15,11,13,1,5,1,0,11.0,84.62,38.46,7.69
Ahsan Khan,T20I,3,10,11,9,1,2,1,0,11.0,122.22,22.22,11.11
Zahoor Khan,T20I,8,23,11,23,4,15,1,0,2.75,47.83,65.22,4.35
KS Lokuarachchi,T20I,2,13,11,13,2,5,1,0,5.5,84.62,38.46,7.69
SF Burger,ODI,2,20,11,20,2,13,1,0,5.5,55.0,65.0,5.0
RJG Palmer,T20I,3,24,11,23,0,13,0,0,11.0,47.83,56.52,0.0
LS Baker,ODI,3,17,11,16,1,11,2,0,11.0,68.75,68.75,12.5
S Chophel,T20I,4,18,11,18,2,9,0,0,5.5,61.11,50.0,0.0
Moshiur Rahman,T20I,3,25,11,25,1,14,0,0,11.0,44.0,56.0,0.0
Abul Hasan,ODI,3,16,11,16,3,9,1,0,3.67,68.75,56.25,6.25
DC Drakes,ODI,2,18,11,17,2,8,0,0,5.5,64.71,47.06,0.0
MEC de Fouw,ODI,2,85,11,81,1,75,1,0,11.0,13.58,92.59,1.23
MEMO Scott-Hayward,ODI,2,23,11,22,2,16,1,0,5.5,50.0,72.73,4.55
R Vinay Kumar,Test,1,25,11,24,2,20,2,0,5.5,45.83,83.33,8.33
Iqra Ishaq,T20I,3,47,11,44,2,34,0,0,5.5,25.0,77.27,0.0
JD Campbell,T20I,2,16,11,16,2,11,2,0,5.5,68.75,68.75,12.5
Sohel Ebrahim Desai,T20I,5,18,11,18,4,9,0,0,2.75,61.11,50.0,0.0
PM Pushpakumara,ODI,2,26,11,26,2,21,0,1,5.5,42.31,80.77,3.85
Mabsar Abdulla,T20I,1,23,11,21,1,13,0,0,11.0,52.38,61.9,0.0
Rabia Sahan,T20I,4,43,11,41,2,32,0,0,5.5,26.83,78.05,0.0
RA Tappin,T20I,4,48,11,47,4,38,0,0,2.75,23.4,80.85,0.0
RD Atangana,T20I,7,37,11,36,4,27,0,0,2.75,30.56,75.0,0.0
J Lassayo,T20I,6,18,11,18,4,10,0,0,2.75,61.11,55.56,0.0
Su Jin Kim,T20I,3,35,11,33,3,25,1,0,3.67,33.33,75.76,3.03
A Bulow,T20I,1,13,11,13,1,7,0,1,11.0,84.62,53.85,7.69
Akshat Raghuwanshi,IPL,1,7,11,7,1,2,0,1,11.0,157.14,28.57,14.29
DR Mousley,PSL,1,16,11,12,1,6,0,1,11.0,91.67,50.0,8.33
Ali Ivan,T20I,1,40,11,39,1,30,0,0,11.0,28.21,76.92,0.0
M Ntini,IPL,2,19,11,18,1,14,2,0,11.0,61.11,77.78,11.11
RT Rubbi,T20I,2,32,11,28,2,17,0,0,5.5,39.29,60.71,0.0
BG Armstrong,T20I,1,10,11,10,1,3,1,0,11.0,110.0,30.0,10.0
BJ Bess,Test,1,12,11,12,1,9,1,1,11.0,91.67,75.0,16.67
A Steyn,Test,1,29,11,29,2,23,1,0,5.5,37.93,79.31,3.45
TJ Draca,T20I,3,14,11,14,2,6,1,0,5.5,78.57,42.86,7.14
Dilini Ishara,T20I,4,45,11,37,3,27,1,0,3.67,29.73,72.97,2.7
L Mating,T20I,3,27,11,26,2,15,0,0,5.5,42.31,57.69,0.0
Y Jasti,T20I,4,26,11,25,3,17,0,0,3.67,44.0,68.0,0.0
Saad Ali,ODI,2,23,11,23,2,13,0,0,5.5,47.83,56.52,0.0
MJ Mindley,Test,1,37,11,37,1,34,1,1,11.0,29.73,91.89,5.41
Sabbir Rahman,PSL,1,11,11,11,1,5,1,0,11.0,100.0,45.45,9.09
SW Tait,T20I,6,15,11,15,3,9,0,1,3.67,73.33,60.0,6.67
AO Suji,T20I,2,26,11,25,1,15,0,0,11.0,44.0,60.0,0.0
Yasir Shah,T20I,1,7,11,7,0,0,1,0,11.0,157.14,0.0,14.29
A Daxini,T20I,3,24,11,22,3,14,1,0,3.67,50.0,63.64,4.55
S Pillay,T20I,1,10,11,10,1,5,2,0,11.0,110.0,50.0,20.0
BAA Zammitt,T20I,3,27,10,25,3,16,0,0,3.33,40.0,64.0,0.0
G Ford,T20I,3,29,10,25,2,18,1,0,5.0,40.0,72.0,4.0
KAJ Roach,IPL,1,9,10,9,1,3,1,0,10.0,111.11,33.33,11.11
JE Root,IPL,1,15,10,15,1,8,1,0,10.0,66.67,53.33,6.67
JE Pitcher,T20I,3,20,10,19,0,10,0,0,10.0,52.63,52.63,0.0
Mukesh Kumar,IPL,5,20,10,18,1,8,0,0,10.0,55.56,44.44,0.0
SW Currie,ODI,2,19,10,18,2,13,1,0,5.0,55.56,72.22,5.56
K Boniface,T20I,3,22,10,20,1,12,0,0,10.0,50.0,60.0,0.0
K Babu,T20I,6,23,10,23,2,13,0,0,5.0,43.48,56.52,0.0
K Damane,T20I,1,15,10,15,1,11,2,0,10.0,66.67,73.33,13.33
S Rossi,T20I,5,16,10,16,5,9,0,0,2.0,62.5,56.25,0.0
R Ova,T20I,7,18,10,17,6,11,0,0,1.67,58.82,64.71,0.0
TJ Moores,PSL,2,21,10,21,2,14,0,0,5.0,47.62,66.67,0.0
E Chigumbura,PSL,3,14,10,13,2,6,1,0,5.0,76.92,46.15,7.69
Anwar Rahman,T20I,8,27,10,25,4,15,0,0,2.5,40.0,60.0,0.0
A Ashok,ODI,1,12,10,12,1,9,2,0,10.0,83.33,75.0,16.67
Sadia Yousuf,ODI,13,98,10,95,7,88,1,0,1.43,10.53,92.63,1.05
M Ntini,T20I,4,11,10,11,2,7,2,0,5.0,90.91,63.64,18.18
Ali Rasool,T20I,3,22,10,21,2,12,0,0,5.0,47.62,57.14,0.0
Ali Hasan,T20I,4,15,10,15,4,10,0,1,2.5,66.67,66.67,6.67
JC Price,Test,2,28,10,28,3,24,1,0,3.33,35.71,85.71,3.57
Rashid Latif,Test,1,53,10,53,2,49,2,0,5.0,18.87,92.45,3.77
Krish Bhagat,IPL,2,21,10,21,1,12,0,0,10.0,47.62,57.14,0.0
G Kaltongga,T20I,2,12,10,12,2,7,1,0,5.0,83.33,58.33,8.33
Rajkumar Rajendran,T20I,2,18,10,17,2,13,0,1,5.0,58.82,76.47,5.88
JM Davies,T20I,4,46,10,44,3,35,0,0,3.33,22.73,79.55,0.0
CBRLS Kumara,T20I,5,11,10,11,3,7,2,0,3.33,90.91,63.64,18.18
J Hansrod,T20I,3,26,10,25,3,18,1,0,3.33,40.0,72.0,4.0
T Muzarabani,ODI,6,32,10,32,3,25,1,0,3.33,31.25,78.12,3.12
V Volfova,T20I,4,41,10,29,3,23,1,0,3.33,34.48,79.31,3.45
VL Mukesh,T20I,4,16,10,16,4,13,0,1,2.5,62.5,81.25,6.25
VG Arora,IPL,11,28,10,27,4,18,0,0,2.5,37.04,66.67,0.0
Shamyl Hussain,ODI,2,31,10,29,2,21,0,0,5.0,34.48,72.41,0.0
A Sathyan,T20I,2,15,10,15,0,9,1,0,10.0,66.67,60.0,6.67
RWT Key,T20I,1,9,10,8,0,0,0,0,10.0,125.0,0.0,0.0
PM Siddle,PSL,2,10,10,9,1,4,1,0,10.0,111.11,44.44,11.11
I Katzarski,T20I,4,27,10,25,2,15,0,0,5.0,40.0,60.0,0.0
ACL Richards,T20I,1,17,10,15,1,9,1,0,10.0,66.67,60.0,6.67
Salman Fayyaz,PSL,2,6,10,6,1,1,0,1,10.0,166.67,16.67,16.67
