bowler,year,format,balls,runs_given,wickets,matches,dot_balls,economy,average,strike_rate
RA Jadeja,2020,Test,209,92,5,2,163,2.64,18.4,41.8
RA Jadeja,2021,IPL,296,347,13,16,104,7.03,26.69,22.77
RA Jadeja,2021,T20I,84,83,6,4,37,5.93,13.83,14.0
RA Jadeja,2021,Test,1327,489,17,7,1045,2.21,28.76,78.06
RA Jadeja,2022,IPL,198,252,6,10,65,7.64,42.0,33.0
RA Jadeja,2022,ODI,55,38,1,2,26,4.15,38.0,55.0
RA Jadeja,2022,T20I,162,201,5,8,61,7.44,40.2,32.4
RA Jadeja,2022,Test,422,216,11,3,312,3.07,19.64,38.36
RA Jadeja,2023,IPL,342,432,20,16,107,7.58,21.6,17.1
RA Jadeja,2023,ODI,1096,848,31,22,588,4.64,27.35,35.35
RA Jadeja,2023,T20I,35,55,3,2,10,9.43,18.33,11.67
RA Jadeja,2023,Test,1616,674,33,7,1262,2.5,20.42,48.97
RA Jadeja,2024,IPL,283,371,8,14,75,7.87,46.38,35.38
RA Jadeja,2024,T20I,66,87,0,6,18,7.91,87.0,66.0
RA Jadeja,2024,Test,2123,1203,49,11,1478,3.4,24.55,43.33
RA Jadeja,2025,IPL,229,325,10,14,77,8.52,32.5,22.9
RA Jadeja,2025,ODI,516,404,12,10,242,4.7,33.67,43.0
RA Jadeja,2025,Test,1804,985,25,10,1251,3.28,39.4,72.16
RA Jadeja,2026,IPL,132,176,7,8,41,8.0,25.14,18.86
RA Jadeja,2026,ODI,139,141,0,3,42,6.09,141.0,139.0
RA Lewis,2015,T20I,12,11,0,1,4,5.5,11.0,12.0
RA Lewis,2016,T20I,19,27,1,2,5,8.53,27.0,19.0
RA Lewis,2017,ODI,30,31,1,2,13,6.2,31.0,30.0
RA Mair,2019,ODI,120,99,2,3,78,4.95,49.5,60.0
RA Mair,2019,T20I,54,70,4,3,19,7.78,17.5,13.5
RA Mair,2020,ODI,234,198,2,5,136,5.08,99.0,117.0
RA Mair,2020,T20I,128,151,7,7,53,7.08,21.57,18.29
RA Mair,2021,ODI,132,136,0,3,69,6.18,136.0,132.0
RA Mair,2021,T20I,109,109,4,6,56,6.0,27.25,27.25
RA Mair,2022,ODI,175,151,4,5,94,5.18,37.75,43.75
RA Mair,2022,T20I,14,15,1,1,5,6.43,15.0,14.0
RA Mair,2024,ODI,120,114,5,2,66,5.7,22.8,24.0
RA Mair,2024,T20I,284,295,16,12,130,6.23,18.44,17.75
RA Mair,2025,ODI,168,158,4,5,101,5.64,39.5,42.0
RA Mair,2025,T20I,71,107,1,4,28,9.04,107.0,71.0
RA Mair,2026,ODI,254,221,9,5,140,5.22,24.56,28.22
RA Mair,2026,T20I,151,163,6,7,66,6.48,27.17,25.17
RA Reifer,2017,Test,181,88,2,1,141,2.92,44.0,90.5
RA Reifer,2019,ODI,53,54,2,2,20,6.11,27.0,26.5
RA Reifer,2021,ODI,90,80,3,2,37,5.33,26.67,30.0
RA Reifer,2022,Test,48,23,0,2,37,2.88,23.0,48.0
RA Reifer,2023,ODI,19,16,1,1,11,5.05,16.0,19.0
RA Reifer,2023,T20I,30,60,1,2,5,12.0,60.0,30.0
RA Reifer,2023,Test,109,59,1,3,75,3.25,59.0,109.0
RA Shaikh,2009,IPL,6,11,0,1,1,11.0,11.0,6.0
RA Tappin,2025,T20I,12,19,0,1,3,9.5,19.0,12.0
RA Tripathi,2017,IPL,6,12,0,1,0,12.0,12.0,6.0
RA Whiteley,2018,PSL,18,45,0,1,2,15.0,45.0,18.0
RAJ Smith,2019,T20I,41,72,0,2,15,10.54,72.0,41.0
RAP Nissanka,2003,ODI,389,305,11,9,263,4.7,27.73,35.36
RAS Lakmal,2009,ODI,109,113,2,2,54,6.22,56.5,54.5
RAS Lakmal,2010,ODI,165,187,2,3,84,6.8,93.5,82.5
RAS Lakmal,2010,Test,218,134,3,2,154,3.69,44.67,72.67
RAS Lakmal,2011,ODI,215,229,9,6,109,6.39,25.44,23.89
RAS Lakmal,2011,T20I,42,50,3,2,17,7.14,16.67,14.0
RAS Lakmal,2011,Test,1404,869,15,8,993,3.71,57.93,93.6
RAS Lakmal,2012,ODI,153,155,4,3,80,6.08,38.75,38.25
RAS Lakmal,2012,Test,248,151,1,2,189,3.65,151.0,248.0
RAS Lakmal,2013,ODI,254,227,10,5,146,5.36,22.7,25.4
RAS Lakmal,2013,T20I,24,29,1,1,11,7.25,29.0,24.0
RAS Lakmal,2013,Test,608,326,5,3,466,3.22,65.2,121.6
RAS Lakmal,2014,ODI,414,289,15,8,260,4.19,19.27,27.6
RAS Lakmal,2014,T20I,24,44,1,1,6,11.0,44.0,24.0
RAS Lakmal,2014,Test,1517,782,23,7,1130,3.09,34.0,65.96
RAS Lakmal,2015,ODI,504,552,13,12,278,6.57,42.46,38.77
RAS Lakmal,2015,Test,843,454,8,4,619,3.23,56.75,105.38
RAS Lakmal,2016,ODI,530,449,17,12,299,5.08,26.41,31.18
RAS Lakmal,2016,T20I,77,139,2,4,26,10.83,69.5,38.5
RAS Lakmal,2016,Test,1273,690,19,6,928,3.25,36.32,67.0
RAS Lakmal,2017,ODI,750,668,19,15,425,5.34,35.16,39.47
RAS Lakmal,2017,T20I,6,18,1,1,2,18.0,18.0,6.0
RAS Lakmal,2017,Test,1917,1034,23,10,1401,3.24,44.96,83.35
RAS Lakmal,2018,ODI,500,460,15,11,288,5.52,30.67,33.33
RAS Lakmal,2018,T20I,12,20,0,1,4,10.0,20.0,12.0
RAS Lakmal,2018,Test,1838,896,31,12,1405,2.92,28.9,59.29
RAS Lakmal,2019,ODI,102,134,2,3,49,7.88,67.0,51.0
RAS Lakmal,2019,T20I,24,38,1,1,6,9.5,38.0,24.0
RAS Lakmal,2019,Test,797,336,15,5,609,2.53,22.4,53.13
RAS Lakmal,2020,Test,525,162,10,2,439,1.85,16.2,52.5
RAS Lakmal,2021,ODI,57,56,2,1,28,5.89,28.0,28.5
RAS Lakmal,2021,Test,1098,471,17,7,871,2.57,27.71,64.59
RAS Lakmal,2022,Test,263,145,3,2,196,3.31,48.33,87.67
RC Belbashi,2019,T20I,106,67,8,8,70,3.79,8.38,13.25
RC Belbashi,2021,T20I,104,52,11,6,72,3.0,4.73,9.45
RC Belbashi,2022,T20I,210,154,6,9,104,4.4,25.67,35.0
RC Belbashi,2023,T20I,348,233,14,18,187,4.02,16.64,24.86
RC Belbashi,2024,T20I,161,101,8,8,91,3.76,12.62,20.12
RC Belbashi,2025,T20I,175,187,3,11,77,6.41,62.33,58.33
RC Belbashi,2026,T20I,106,110,11,8,56,6.23,10.0,9.64
RC Irani,2002,ODI,120,82,1,2,71,4.1,82.0,120.0
RC Irani,2003,ODI,353,288,8,8,186,4.9,36.0,44.12
RD Atangana,2022,T20I,48,48,1,2,21,6.0,48.0,48.0
RD Atangana,2024,T20I,48,36,4,4,31,4.5,9.0,12.0
RD Berrington,2008,ODI,84,48,1,3,57,3.43,48.0,84.0
RD Berrington,2008,T20I,42,34,3,2,15,4.86,11.33,14.0
RD Berrington,2010,T20I,18,19,0,1,7,6.33,19.0,18.0
RD Berrington,2011,ODI,30,18,1,1,19,3.6,18.0,30.0
RD Berrington,2012,T20I,24,44,2,2,12,11.0,22.0,12.0
RD Berrington,2014,ODI,102,101,3,4,47,5.94,33.67,34.0
RD Berrington,2015,ODI,133,126,4,4,61,5.68,31.5,33.25
RD Berrington,2015,T20I,30,49,1,3,8,9.8,49.0,30.0
RD Berrington,2016,ODI,12,12,0,1,6,6.0,12.0,12.0
RD Berrington,2016,T20I,34,32,3,2,15,5.65,10.67,11.33
RD Berrington,2017,ODI,36,46,1,2,17,7.67,46.0,36.0
RD Berrington,2018,ODI,90,91,2,5,43,6.07,45.5,45.0
RD Berrington,2018,T20I,54,72,4,5,14,8.0,18.0,13.5
RD Berrington,2019,ODI,108,91,1,5,56,5.06,91.0,108.0
RD Berrington,2019,T20I,174,233,8,11,49,8.03,29.12,21.75
RD Berrington,2021,ODI,73,49,1,3,42,4.03,49.0,73.0
RD Berrington,2021,T20I,24,38,0,3,3,9.5,38.0,24.0
RD Berrington,2022,ODI,72,56,1,6,39,4.67,56.0,72.0
RD Berrington,2022,T20I,6,13,1,1,1,13.0,13.0,6.0
RD Berrington,2023,ODI,6,9,0,1,1,9.0,9.0,6.0
RD Chahar,2017,IPL,42,59,2,2,17,8.43,29.5,21.0
RD Chahar,2019,IPL,282,310,13,13,125,6.6,23.85,21.69
RD Chahar,2019,T20I,18,29,1,1,9,9.67,29.0,18.0
RD Chahar,2020,IPL,318,439,16,15,104,8.28,27.44,19.88
RD Chahar,2021,IPL,258,324,13,11,93,7.53,24.92,19.85
RD Chahar,2021,ODI,62,58,3,1,31,5.61,19.33,20.67
RD Chahar,2021,T20I,115,144,6,5,41,7.51,24.0,19.17
RD Chahar,2022,IPL,280,365,14,13,99,7.82,26.07,20.0
RD Chahar,2023,IPL,298,388,8,14,96,7.81,48.5,37.25
RD Chahar,2024,IPL,187,280,10,9,56,8.98,28.0,18.7
RD Chahar,2025,IPL,6,9,0,1,2,9.0,9.0,6.0
RD Chahar,2026,IPL,24,46,0,1,4,11.5,46.0,24.0
RD Pangestuti,2023,T20I,49,45,1,3,26,5.51,45.0,49.0
RD Pangestuti,2024,T20I,36,26,1,4,23,4.33,26.0,36.0
RD Pangestuti,2025,T20I,6,4,0,1,5,4.0,4.0,6.0
RD Penalba,2024,T20I,12,11,1,1,4,5.5,11.0,12.0
RD Steede,2006,ODI,24,27,0,1,13,6.75,27.0,24.0
RD Steede,2008,ODI,56,27,1,1,39,2.89,27.0,56.0
RD de Sousa,2021,T20I,12,1,2,1,11,0.5,0.5,6.0
RD de Sousa,2022,T20I,96,86,4,4,60,5.38,21.5,24.0
RD de Sousa,2023,T20I,114,55,5,5,83,2.89,11.0,22.8
RDB Ahir,2023,T20I,146,191,6,8,58,7.85,31.83,24.33
RDB Ahir,2024,T20I,106,103,9,6,53,5.83,11.44,11.78
RDM Leverock,2006,ODI,142,72,4,3,106,3.04,18.0,35.5
RDM Leverock,2007,ODI,405,347,8,8,211,5.14,43.38,50.62
RDM Leverock,2008,ODI,60,29,1,1,41,2.9,29.0,60.0
RDM Leverock,2008,T20I,24,22,0,1,7,5.5,22.0,24.0
RE Francis,2025,T20I,30,30,0,2,17,6.0,30.0,30.0
RE van der Merwe,2009,IPL,204,263,9,10,62,7.74,29.22,22.67
RE van der Merwe,2009,ODI,525,437,13,10,235,4.99,33.62,40.38
RE van der Merwe,2009,T20I,204,228,13,9,78,6.71,17.54,15.69
RE van der Merwe,2010,IPL,24,27,2,1,8,6.75,13.5,12.0
RE van der Merwe,2010,ODI,180,138,4,3,77,4.6,34.5,45.0
RE van der Merwe,2010,T20I,36,64,2,3,14,10.67,32.0,18.0
RE van der Merwe,2011,IPL,89,94,6,4,38,6.34,15.67,14.83
RE van der Merwe,2012,IPL,60,60,4,3,26,6.0,15.0,15.0
RE van der Merwe,2013,IPL,66,71,4,3,25,6.45,17.75,16.5
RE van der Merwe,2015,T20I,72,57,5,3,34,4.75,11.4,14.4
RE van der Merwe,2016,T20I,24,32,3,2,11,8.0,10.67,8.0
RE van der Merwe,2017,T20I,72,85,3,3,27,7.08,28.33,24.0
RE van der Merwe,2018,T20I,24,24,2,1,8,6.0,12.0,12.0
RE van der Merwe,2019,ODI,85,98,1,2,41,6.92,98.0,85.0
RE van der Merwe,2019,T20I,391,370,24,18,177,5.68,15.42,16.29
RE van der Merwe,2021,ODI,36,27,1,1,14,4.5,27.0,36.0
RE van der Merwe,2021,T20I,36,57,0,2,9,9.5,57.0,36.0
RE van der Merwe,2022,T20I,66,75,2,6,23,6.82,37.5,33.0
RE van der Merwe,2023,ODI,307,288,6,7,132,5.63,48.0,51.17
RE van der Merwe,2024,ODI,376,208,13,7,239,3.32,16.0,28.92
RE van der Merwe,2024,T20I,138,150,9,8,58,6.52,16.67,15.33
RE van der Merwe,2025,ODI,427,348,9,8,223,4.89,38.67,47.44
RE van der Merwe,2025,T20I,150,176,11,7,49,7.04,16.0,13.64
RE van der Merwe,2026,T20I,54,86,1,4,9,9.56,86.0,54.0
RG Aga,2004,ODI,81,92,2,2,37,6.81,46.0,40.5
RG Aga,2008,T20I,24,14,2,1,17,3.5,7.0,12.0
RG Aga,2012,ODI,6,10,1,1,2,10.0,10.0,6.0
RG Aga,2012,T20I,36,41,1,4,17,6.83,41.0,36.0
RG Aga,2013,ODI,60,33,1,1,40,3.3,33.0,60.0
RG Aga,2013,T20I,88,87,9,6,40,5.93,9.67,9.78
RG Aga,2014,ODI,78,67,1,2,38,5.15,67.0,78.0
RG More,2015,IPL,35,63,1,2,5,10.8,63.0,35.0
RG Mukasa,2019,T20I,42,41,0,2,20,5.86,41.0,42.0
RG Sharma,2007,ODI,6,3,0,1,3,3.0,3.0,6.0
RG Sharma,2008,IPL,24,26,1,1,7,6.5,26.0,24.0
RG Sharma,2008,ODI,89,61,0,7,40,4.11,61.0,89.0
RG Sharma,2009,IPL,138,163,12,12,40,7.09,13.58,11.5
RG Sharma,2009,ODI,90,70,2,4,40,4.67,35.0,45.0
RG Sharma,2009,T20I,30,39,1,2,7,7.8,39.0,30.0
RG Sharma,2010,IPL,114,159,2,9,35,8.37,79.5,57.0
RG Sharma,2010,ODI,60,66,1,5,26,6.6,66.0,60.0
RG Sharma,2011,IPL,24,53,0,3,4,13.25,53.0,24.0
RG Sharma,2011,ODI,126,115,5,7,44,5.48,23.0,25.2
RG Sharma,2011,T20I,6,17,0,1,1,17.0,17.0,6.0
RG Sharma,2012,IPL,6,16,0,1,1,16.0,16.0,6.0
RG Sharma,2012,ODI,156,140,2,10,56,5.38,70.0,78.0
RG Sharma,2012,T20I,26,50,0,5,2,11.54,50.0,26.0
RG Sharma,2013,IPL,8,6,0,2,3,4.5,6.0,8.0
RG Sharma,2013,ODI,12,4,0,1,8,2.0,4.0,12.0
RG Sharma,2013,Test,70,42,0,1,49,3.6,42.0,70.0
RG Sharma,2014,IPL,18,26,1,2,4,8.67,26.0,18.0
RG Sharma,2014,ODI,30,29,0,1,11,5.8,29.0,30.0
RG Sharma,2014,Test,258,159,2,5,163,3.7,79.5,129.0
RG Sharma,2015,ODI,18,21,0,1,4,7.0,21.0,18.0
RG Sharma,2016,ODI,6,11,0,1,1,11.0,11.0,6.0
RG Sharma,2016,Test,6,5,0,1,4,5.0,5.0,6.0
RG Sharma,2019,Test,36,14,0,2,27,2.33,14.0,36.0
RG Sharma,2021,IPL,7,13,0,2,0,11.14,13.0,7.0
RG Sharma,2021,Test,13,8,0,2,5,3.69,8.0,13.0
RG Sharma,2023,ODI,5,7,1,1,3,8.4,7.0,5.0
RG Sharma,2024,ODI,12,11,0,1,2,5.5,11.0,12.0
RG Somashekhar,2021,T20I,12,11,1,1,7,5.5,11.0,12.0
RG Somashekhar,2022,T20I,12,11,0,1,6,5.5,11.0,12.0
RG Somashekhar,2025,T20I,6,9,0,1,2,9.0,9.0,6.0
RGA Amah,2022,T20I,12,19,0,1,4,9.5,19.0,12.0
RH Candy,2012,ODI,156,145,5,3,84,5.58,29.0,31.2
RH Candy,2012,T20I,24,14,1,1,15,3.5,14.0,24.0
RH Candy,2013,ODI,36,30,0,1,25,5.0,30.0,36.0
RJ Ainsworth,2025,T20I,6,14,0,1,3,14.0,14.0,6.0
RJ Campbell,2016,T20I,36,42,1,2,15,7.0,42.0,36.0
RJ Gleeson,2022,T20I,126,188,9,6,44,8.95,20.89,14.0
RJ Gleeson,2024,IPL,48,72,1,2,20,9.0,72.0,48.0
RJ Gleeson,2025,IPL,21,39,1,1,5,11.14,39.0,21.0
RJ Gleeson,2026,PSL,192,240,12,9,84,7.5,20.0,16.0
RJ Harris,2009,IPL,187,235,6,8,89,7.54,39.17,31.17
RJ Harris,2009,ODI,60,57,1,1,28,5.7,57.0,60.0
RJ Harris,2010,IPL,184,239,15,8,86,7.79,15.93,12.27
RJ Harris,2010,ODI,788,621,42,15,489,4.73,14.79,18.76
RJ Harris,2010,T20I,70,95,4,3,28,8.14,23.75,17.5
RJ Harris,2010,Test,928,516,20,5,709,3.34,25.8,46.4
RJ Harris,2011,IPL,282,401,17,13,122,8.53,23.59,16.59
RJ Harris,2011,Test,544,280,15,3,435,3.09,18.67,36.27
RJ Harris,2012,IPL,108,136,8,5,51,7.56,17.0,13.5
RJ Harris,2012,ODI,186,175,3,4,97,5.65,58.33,62.0
RJ Harris,2012,Test,847,374,12,4,675,2.65,31.17,70.58
RJ Harris,2013,IPL,72,74,1,3,42,6.17,74.0,72.0
RJ Harris,2013,Test,1838,861,38,8,1463,2.81,22.66,48.37
RJ Harris,2014,Test,1332,609,27,6,1072,2.74,22.56,49.33
RJ Harris,2015,Test,267,130,2,1,210,2.92,65.0,133.5
RJ Hatchman,2019,T20I,24,33,0,1,9,8.25,33.0,24.0
RJ Hatchman,2021,T20I,31,70,1,3,9,13.55,70.0,31.0
RJ Hatchman,2022,T20I,62,144,1,4,11,13.94,144.0,62.0
RJ Hatchman,2023,T20I,66,114,3,4,19,10.36,38.0,22.0
RJ Hatchman,2025,T20I,26,74,0,3,7,17.08,74.0,26.0
RJ Kirtley,2002,ODI,121,103,2,2,68,5.11,51.5,60.5
RJ Kirtley,2003,ODI,55,34,3,1,38,3.71,11.33,18.33
RJ Kirtley,2003,Test,785,409,15,3,600,3.13,27.27,52.33
RJ Kirtley,2007,T20I,6,17,0,1,1,17.0,17.0,6.0
RJ Nicol,2010,T20I,9,9,0,1,4,6.0,9.0,9.0
RJ Nicol,2011,ODI,78,76,1,3,34,5.85,76.0,78.0
RJ Nicol,2011,T20I,6,11,0,1,1,11.0,11.0,6.0
RJ Nicol,2012,ODI,225,213,9,11,114,5.68,23.67,25.0
RJ Nicol,2012,T20I,96,131,5,10,35,8.19,26.2,19.2
RJ Nicol,2012,Test,17,13,0,2,11,4.59,13.0,17.0
RJ Nicol,2013,ODI,36,43,0,3,13,7.17,43.0,36.0
RJ Nicol,2013,T20I,12,18,1,1,3,9.0,18.0,12.0
RJ Peterson,2003,ODI,234,178,6,6,111,4.56,29.67,39.0
RJ Peterson,2003,Test,444,256,2,3,340,3.46,128.0,222.0
RJ Peterson,2004,ODI,96,91,1,3,47,5.69,91.0,96.0
RJ Peterson,2004,Test,126,94,1,1,86,4.48,94.0,126.0
RJ Peterson,2006,ODI,346,258,8,8,181,4.47,32.25,43.25
RJ Peterson,2006,T20I,29,41,3,2,10,8.48,13.67,9.67
RJ Peterson,2007,ODI,126,111,2,3,63,5.29,55.5,63.0
RJ Peterson,2008,Test,174,96,6,1,121,3.31,16.0,29.0
RJ Peterson,2009,T20I,36,46,4,2,16,7.67,11.5,9.0
RJ Peterson,2010,ODI,155,125,4,3,71,4.84,31.25,38.75
RJ Peterson,2010,T20I,24,36,2,1,6,9.0,18.0,12.0
RJ Peterson,2011,ODI,426,336,20,9,249,4.73,16.8,21.3
RJ Peterson,2011,T20I,36,49,2,2,10,8.17,24.5,18.0
RJ Peterson,2012,IPL,48,70,3,4,21,8.75,23.33,16.0
RJ Peterson,2012,ODI,601,464,19,12,319,4.63,24.42,31.63
RJ Peterson,2012,T20I,198,228,12,10,91,6.91,19.0,16.5
RJ Peterson,2012,Test,169,171,6,1,103,6.07,28.5,28.17
RJ Peterson,2013,ODI,706,641,11,16,330,5.45,58.27,64.18
RJ Peterson,2013,T20I,12,26,0,1,3,13.0,26.0,12.0
RJ Peterson,2013,Test,1183,630,16,7,900,3.2,39.38,73.94
RJ Peterson,2014,ODI,85,76,5,2,35,5.36,15.2,17.0
RJ Peterson,2014,T20I,24,28,3,1,11,7.0,9.33,8.0
RJ Peterson,2014,Test,204,136,3,1,137,4.0,45.33,68.0
RJ Pierre,2024,T20I,72,116,2,6,24,9.67,58.0,36.0
RJ Quiney,2012,Test,150,30,0,2,132,1.2,30.0,150.0
RJ Ranpura,2015,T20I,12,15,1,1,6,7.5,15.0,12.0
RJ Sidebottom,2007,ODI,294,210,11,5,187,4.29,19.09,26.73
RJ Sidebottom,2007,T20I,48,69,5,2,22,8.62,13.8,9.6
RJ Sidebottom,2007,Test,2023,1000,29,9,1594,2.97,34.48,69.76
RJ Sidebottom,2008,ODI,439,375,9,8,260,5.13,41.67,48.78
RJ Sidebottom,2008,T20I,44,37,5,2,22,5.05,7.4,8.8
RJ Sidebottom,2008,Test,2136,1031,47,8,1712,2.9,21.94,45.45
RJ Sidebottom,2009,ODI,367,343,4,8,212,5.61,85.75,91.75
RJ Sidebottom,2009,T20I,80,112,3,4,29,8.4,37.33,26.67
RJ Sidebottom,2009,Test,354,185,1,2,265,3.14,185.0,354.0
RJ Sidebottom,2010,ODI,46,46,1,1,23,6.0,46.0,46.0
RJ Sidebottom,2010,T20I,195,243,13,10,87,7.48,18.69,15.0
RJ Sidebottom,2010,Test,186,101,2,1,134,3.26,50.5,93.0
RJ Trott,2007,ODI,136,114,6,3,72,5.03,19.0,22.67
RJ Trott,2008,ODI,54,44,3,1,23,4.89,14.67,18.0
RJ Trott,2008,T20I,24,25,0,1,8,6.25,25.0,24.0
RJ Trott,2019,T20I,180,212,8,10,61,7.07,26.5,22.5
RJ Trott,2021,T20I,72,69,8,3,32,5.75,8.62,9.0
RJ van Vuuren,2003,ODI,302,306,8,5,165,6.08,38.25,37.75
RJG Palmer,2021,T20I,30,31,1,2,12,6.2,31.0,30.0
RJG Palmer,2022,T20I,42,42,1,2,21,6.0,42.0,42.0
RJG Palmer,2023,T20I,30,30,2,2,12,6.0,15.0,15.0
RJW Topley,2015,ODI,248,200,7,5,145,4.84,28.57,35.43
RJW Topley,2015,T20I,48,59,4,2,20,7.38,14.75,12.0
RJW Topley,2016,ODI,216,220,10,5,112,6.11,22.0,21.6
RJW Topley,2016,T20I,55,116,1,4,19,12.65,116.0,55.0
RJW Topley,2020,ODI,54,31,1,1,35,3.44,31.0,54.0
RJW Topley,2021,ODI,104,118,3,2,47,6.81,39.33,34.67
RJW Topley,2022,ODI,293,221,13,7,191,4.53,17.0,22.54
RJW Topley,2022,T20I,366,487,18,16,144,7.98,27.06,20.33
RJW Topley,2023,IPL,12,14,1,1,7,7.0,14.0,12.0
RJW Topley,2023,ODI,372,392,13,8,201,6.32,30.15,28.62
RJW Topley,2023,T20I,69,91,6,3,35,7.91,15.17,11.5
RJW Topley,2024,IPL,90,168,4,4,31,11.2,42.0,22.5
RJW Topley,2024,ODI,54,59,1,1,33,6.56,59.0,54.0
RJW Topley,2024,T20I,169,245,5,10,71,8.7,49.0,33.8
RJW Topley,2025,IPL,18,40,0,1,6,13.33,40.0,18.0
RK Kiseto,2021,T20I,180,193,11,8,98,6.43,17.55,16.36
RK Kiseto,2022,T20I,30,62,0,3,9,12.4,62.0,30.0
RK Kleinveldt,2008,T20I,6,20,1,1,1,20.0,20.0,6.0
RK Kleinveldt,2010,T20I,24,48,2,1,9,12.0,24.0,12.0
RK Kleinveldt,2012,T20I,68,78,4,3,32,6.88,19.5,17.0
RK Kleinveldt,2012,Test,384,254,4,2,263,3.97,63.5,96.0
RK Kleinveldt,2013,ODI,455,415,12,9,274,5.47,34.58,37.92
RK Kleinveldt,2013,T20I,24,28,2,1,11,7.0,14.0,12.0
RK Kleinveldt,2013,Test,307,179,6,2,243,3.5,29.83,51.17
RK Parwin,2012,T20I,48,38,4,2,26,4.75,9.5,12.0
RK Parwin,2013,ODI,42,34,0,1,26,4.86,34.0,42.0
RK Paudel,2022,T20I,5,2,1,1,3,2.4,2.0,5.0
RK Paudel,2023,ODI,109,71,0,4,62,3.91,71.0,109.0
RK Paudel,2023,T20I,36,50,2,3,15,8.33,25.0,18.0
RK Paudel,2024,ODI,232,167,10,7,136,4.32,16.7,23.2
RK Paudel,2024,T20I,96,102,7,7,38,6.38,14.57,13.71
RK Paudel,2025,T20I,90,98,4,6,32,6.53,24.5,22.5
RK Paudel,2026,ODI,18,16,0,2,8,5.33,16.0,18.0
RK Paudel,2026,T20I,12,12,1,1,4,6.0,12.0,12.0
RK Raval,2025,T20I,6,9,0,1,3,9.0,9.0,6.0
RK Singh,2023,ODI,6,2,1,1,4,2.0,2.0,6.0
RK Singh,2024,T20I,6,3,2,1,4,3.0,1.5,3.0
RK Singh,2026,T20I,10,16,1,2,5,9.6,16.0,10.0
RK Whelan,2007,ODI,90,105,2,2,50,7.0,52.5,45.0
RK Willis,2019,T20I,12,15,0,1,4,7.5,15.0,12.0
RKJ Dawson,2002,Test,169,121,2,1,108,4.3,60.5,84.5
RKJ Dawson,2003,Test,156,119,1,1,110,4.58,119.0,156.0
RL Bhudia,2007,T20I,44,78,0,3,15,10.64,78.0,44.0
RL Bhudia,2009,ODI,48,23,1,1,37,2.88,23.0,48.0
RL Blake,2023,T20I,41,55,1,3,22,8.05,55.0,41.0
RL Blake,2025,T20I,6,12,0,1,0,12.0,12.0,6.0
RL Chase,2016,Test,1243,646,11,6,875,3.12,58.73,113.0
RL Chase,2017,ODI,11,25,0,2,1,13.64,25.0,11.0
RL Chase,2017,Test,1491,942,21,10,1012,3.79,44.86,71.0
RL Chase,2018,ODI,120,101,2,3,68,5.05,50.5,60.0
RL Chase,2018,Test,727,454,11,8,476,3.75,41.27,66.09
RL Chase,2019,ODI,301,278,2,8,141,5.54,139.0,150.5
RL Chase,2019,Test,850,489,14,5,558,3.45,34.93,60.71
RL Chase,2020,ODI,252,208,4,5,117,4.95,52.0,63.0
RL Chase,2020,Test,792,507,12,5,512,3.84,42.25,66.0
RL Chase,2021,T20I,15,23,0,2,6,9.2,23.0,15.0
RL Chase,2021,Test,731,385,10,6,522,3.16,38.5,73.1
RL Chase,2022,ODI,120,93,4,3,63,4.65,23.25,30.0
RL Chase,2022,T20I,72,63,6,3,30,5.25,10.5,12.0
RL Chase,2022,Test,427,318,4,2,227,4.47,79.5,106.75
RL Chase,2023,ODI,445,379,10,9,208,5.11,37.9,44.5
RL Chase,2023,T20I,73,96,1,3,17,7.89,96.0,73.0
RL Chase,2023,Test,487,226,3,4,349,2.78,75.33,162.33
RL Chase,2024,ODI,465,394,5,11,214,5.08,78.8,93.0
RL Chase,2024,T20I,356,412,18,20,140,6.94,22.89,19.78
RL Chase,2025,ODI,569,474,14,14,286,5.0,33.86,40.64
RL Chase,2025,T20I,213,294,11,14,63,8.28,26.73,19.36
RL Chase,2025,Test,927,637,9,8,578,4.12,70.78,103.0
RL Chase,2026,T20I,126,197,5,7,35,9.38,39.4,25.2
RL D'Souza,2025,T20I,97,116,0,6,40,7.18,116.0,97.0
RL Grundy,2014,T20I,120,99,6,5,61,4.95,16.5,20.0
RL Grundy,2015,ODI,120,100,2,2,77,5.0,50.0,60.0
RL Grundy,2015,T20I,48,50,4,2,17,6.25,12.5,12.0
RL Grundy,2016,ODI,48,48,1,1,23,6.0,48.0,48.0
RL Grundy,2016,T20I,54,61,0,3,17,6.78,61.0,54.0
RL Haynes,2009,Test,54,13,1,1,50,1.44,13.0,54.0
RL Haynes,2011,Test,78,25,2,1,59,1.92,12.5,39.0
RL Haynes,2012,ODI,12,22,0,1,5,11.0,22.0,12.0
RL Haynes,2012,T20I,18,34,0,2,3,11.33,34.0,18.0
RL Haynes,2013,T20I,6,10,0,1,1,10.0,10.0,6.0
RL Haynes,2013,Test,13,8,0,1,9,3.69,8.0,13.0
RL Haynes,2017,ODI,12,12,2,1,4,6.0,6.0,6.0
RL Haynes,2017,Test,12,8,0,1,10,4.0,8.0,12.0
RL Johnson,2003,ODI,356,206,10,8,251,3.47,20.6,35.6
RL Johnson,2003,Test,200,93,10,1,157,2.79,9.3,20.0
RL Powell,2003,ODI,114,112,3,4,51,5.89,37.33,38.0
RL Powell,2004,ODI,60,61,1,4,24,6.1,61.0,60.0
RL Powell,2004,Test,48,40,0,1,31,5.0,40.0,48.0
