bowler,matches,balls,runs_given,wickets,dot_balls,wides,noballs,overs,economy,average,dot_pct,strike_rate
Rosine Irera,57,1128,713.0,74,700,19,2,188.0,3.79,9.64,62.06,15.24
GD Elliott,84,1879,1724.0,74,910,39,1,313.2,5.51,23.3,48.43,25.39
EA Osborne,56,1878,1426.0,74,979,17,7,313.0,4.56,19.27,52.13,25.38
L Tshuma,66,1657,1412.0,74,828,31,6,276.2,5.11,19.08,49.97,22.39
DR Tuffey,47,3161,2220.0,73,2157,68,27,526.8,4.21,30.41,68.24,43.3
Q Abel,40,818,633.0,73,480,31,1,136.3,4.64,8.67,58.68,11.21
SK Trivedi,75,1515,1904.0,73,528,42,9,252.5,7.54,26.08,34.85,20.75
SA Okpe,72,1265,1213.0,73,580,23,1,210.8,5.75,16.62,45.85,17.33
L Embuldeniya,17,4879,2611.0,73,3463,1,34,813.2,3.21,35.77,70.98,66.84
HC Knight,92,2274,1696.0,73,1245,40,2,379.0,4.47,23.23,54.75,31.15
Imran Khan,62,1150,1391.0,73,518,41,3,191.7,7.26,19.05,45.04,15.75
AA Alleyne,91,2111,2217.0,73,1052,146,16,351.8,6.3,30.37,49.83,28.92
TJ Murtagh,45,2304,1720.0,72,1467,31,1,384.0,4.48,23.89,63.67,32.0
P Aho,59,1094,1110.0,72,600,90,7,182.3,6.09,15.42,54.84,15.19
LS Livingstone,102,1851,2350.0,72,674,42,1,308.5,7.62,32.64,36.41,25.71
NK Patel,56,1913,1551.0,72,1006,29,0,318.8,4.86,21.54,52.59,26.57
CB Sole,45,1774,1711.0,72,1028,84,19,295.7,5.79,23.76,57.95,24.64
J Theron,45,1382,1446.0,72,646,49,7,230.3,6.28,20.08,46.74,19.19
BJ McMullen,55,1972,1656.0,72,1206,36,12,328.7,5.04,23.0,61.16,27.39
PM Seelaar,79,2163,2085.0,72,981,15,0,360.5,5.78,28.96,45.35,30.04
Chan Ka Man,63,1271,934.0,72,702,18,3,211.8,4.41,12.97,55.23,17.65
S Akiteng,55,1223,942.0,72,683,38,16,203.8,4.62,13.08,55.85,16.99
S Shillingford,16,4709,2419.0,72,3395,0,15,784.8,3.08,33.6,72.1,65.4
S Mahmood,45,1769,1718.0,71,999,48,9,294.8,5.83,24.2,56.47,24.92
TS Mills,55,1181,1720.0,71,465,65,6,196.8,8.74,24.23,39.37,16.63
CJA Amini,82,2295,2036.0,71,1119,39,2,382.5,5.32,28.68,48.76,32.32
Mahirah Izzati Ismail,56,1168,926.0,71,586,28,6,194.7,4.76,13.04,50.17,16.45
S Dharnidharka,67,1293,1035.0,71,823,125,6,215.5,4.8,14.58,63.65,18.21
F Nsubuga,63,1291,999.0,71,784,7,1,215.2,4.64,14.07,60.73,18.18
C Campher,90,2425,2524.0,71,1177,66,8,404.2,6.24,35.55,48.54,34.15
BJ Currie,35,1091,851.0,71,674,39,0,181.8,4.68,11.99,61.78,15.37
S Badree,67,1470,1621.0,70,671,22,0,245.0,6.62,23.16,45.65,21.0
Anwar Ali,83,2019,2574.0,70,830,59,4,336.5,7.65,36.77,41.11,28.84
G Matome,53,1089,761.0,70,714,74,6,181.5,4.19,10.87,65.56,15.56
FJ Klaassen,56,1724,1738.0,70,906,74,11,287.3,6.05,24.83,52.55,24.63
K Klein,37,1238,1239.0,70,694,52,2,206.3,6.0,17.7,56.06,17.69
KMA Paul,58,2057,2208.0,70,1002,80,39,342.8,6.44,31.54,48.71,29.39
Syed Rasel,54,3140,2376.0,70,1985,39,54,523.3,4.54,33.94,63.22,44.86
D Madushanka,44,1546,1756.0,70,796,75,10,257.7,6.82,25.09,51.49,22.09
Yasin Patel,54,1202,1198.0,70,594,35,0,200.3,5.98,17.11,49.42,17.17
SR Harmer,14,3135,1504.0,70,2347,0,1,522.5,2.88,21.49,74.86,44.79
Muhammad Jawadullah,47,1331,1527.0,69,649,67,8,221.8,6.88,22.13,48.76,19.29
S Kaul,60,1382,1944.0,69,481,24,7,230.3,8.44,28.17,34.8,20.03
T Shadrack,53,1082,718.0,69,734,56,8,180.3,3.98,10.41,67.84,15.68
Sajid Khan,17,3344,1958.0,69,2303,7,1,557.3,3.51,28.38,68.87,48.46
OC McCoy,53,1104,1610.0,69,411,68,9,184.0,8.75,23.33,37.23,16.0
Simi Singh,61,1795,1644.0,69,847,23,1,299.2,5.5,23.83,47.19,26.01
Aqib Ilyas,62,1591,1409.0,69,770,18,0,265.2,5.31,20.42,48.4,23.06
S Vijay Unni,68,1261,1300.0,69,567,19,2,210.2,6.19,18.84,44.96,18.28
Shoaib Bashir,18,4201,2652.0,69,2799,2,2,700.2,3.79,38.43,66.63,60.88
S Siegers,75,1595,1527.0,69,774,50,21,265.8,5.74,22.13,48.53,23.12
Tanzim Hasan Sakib,51,1462,1746.0,68,715,54,6,243.7,7.17,25.68,48.91,21.5
BM Tickner,40,1936,1916.0,68,1068,57,7,322.7,5.94,28.18,55.17,28.47
SPD Smith,107,2847,2375.0,68,1465,9,2,474.5,5.01,34.93,51.46,41.87
TM McGrath,81,2213,1778.0,68,1255,59,18,368.8,4.82,26.15,56.71,32.54
DP Nannes,45,1016,1244.0,68,476,52,4,169.3,7.35,18.29,46.85,14.94
SR Patel,85,2844,2573.0,68,1416,16,0,474.0,5.43,37.84,49.79,41.82
Ebadat Hossain,35,4025,2618.0,68,2821,47,14,670.8,3.9,38.5,70.09,59.19
