bowler,format,cluster,wickets,economy,average,dot_pct
G Wareham,T20I,0,81,6.13,15.1,42.94
Nahida Akter,ODI,1,81,3.94,20.3,59.7
S Sreesanth,ODI,1,81,5.87,29.04,56.01
MNM Aslam,T20I,0,80,6.16,18.16,44.88
Hasan Ali,T20I,5,80,8.59,20.5,37.87
JA Warrican,Test,3,80,3.04,27.95,70.83
Mohammad Amir,T20I,0,79,7.12,19.95,47.03
MA Wood,ODI,6,79,5.57,38.67,53.32
M Theekshana,ODI,1,79,4.42,22.9,56.64
Aqib Iqbal,T20I,0,79,7.05,19.23,48.49
MVT Fernando,Test,3,79,3.52,31.73,71.76
A Nel,Test,3,79,3.06,32.0,76.75
GJ Maxwell,ODI,6,79,5.48,44.54,44.57
RJ Sidebottom,Test,3,79,2.77,27.43,78.85
HMRKB Herath,ODI,1,79,4.42,28.2,50.61
JR Hazlewood,T20I,0,79,7.36,20.41,47.79
Saad Bin Zafar,T20I,0,79,6.16,16.85,46.22
NR Sciver,T20I,0,78,6.44,19.04,43.46
JC Archer,IPL,5,78,7.95,24.63,45.45
Poonam Yadav,T20I,0,78,5.8,15.51,39.97
AR Patel,ODI,6,78,4.49,31.55,55.75
TA Boult,T20I,0,78,7.76,22.31,45.69
OE Robinson,Test,3,78,2.7,22.33,77.23
RS Gayakwad,ODI,1,78,3.89,20.42,60.13
AH Maqsood,T20I,0,78,5.67,15.76,45.2
SR Taylor,ODI,1,77,4.51,30.68,55.0
DAJ Bracewell,Test,3,77,3.31,37.31,74.19
JM Kerr,ODI,1,77,4.41,22.44,59.43
SC Williams,ODI,6,77,5.04,45.58,48.89
J Botha,ODI,6,77,4.6,36.12,48.17
Imad Wasim,T20I,0,77,6.24,19.77,42.62
CA Young,ODI,1,77,5.4,23.71,58.14
Mohammed Siraj,ODI,1,77,5.05,24.01,62.72
Salma Khatun,T20I,7,77,5.1,15.05,52.6
A Bohara,T20I,0,77,7.42,18.82,35.01
TT Bresnan,Test,3,76,3.02,31.01,77.58
RJ Peterson,ODI,6,76,4.86,29.57,50.67
Kuldeep Yadav,Test,1,76,3.53,22.42,70.77
LH Ferguson,T20I,0,76,7.22,16.93,48.41
JP Faulkner,IPL,5,76,8.68,23.67,35.4
A Mishra,Test,3,76,3.14,35.72,71.32
AC Jayangani,T20I,0,76,6.67,19.46,36.74
RD Chahar,IPL,5,76,7.77,28.89,35.16
Syed Aziz,T20I,0,76,7.25,20.03,46.39
Nashra Sandhu,T20I,0,76,5.56,18.88,44.35
BA Stokes,ODI,6,76,6.04,41.12,45.18
AM Fernando,Test,1,76,3.58,27.63,70.34
SB Styris,ODI,6,76,4.65,32.86,53.37
RE van der Merwe,T20I,0,75,6.56,18.48,39.23
SR Watson,Test,3,75,2.73,32.55,79.49
MJ McClenaghan,IPL,5,75,8.43,24.04,41.62
AG Cremer,ODI,6,75,4.84,34.43,50.56
Sohail Tanvir,ODI,6,75,5.19,33.79,58.43
CV Varun,T20I,0,75,7.56,16.17,40.39
Washeem Abbas,T20I,0,75,8.1,18.67,41.27
SCG MacGill,Test,3,75,3.32,32.35,74.4
Abdul Majid Abbasi,T20I,0,75,5.57,19.51,50.48
PZ Kamunya,T20I,7,75,3.9,8.8,62.6
N Senamontree,T20I,7,75,5.38,12.88,55.19
J Nkomo,T20I,7,75,5.07,12.28,59.82
T Shamsi,ODI,6,75,5.57,33.47,48.7
Mohammad Nawaz,T20I,0,74,7.33,19.58,35.16
MA Leask,ODI,1,74,4.96,27.58,52.53
Renuka Singh,T20I,0,74,6.61,20.66,49.35
AR McBrine,ODI,6,74,4.84,36.77,52.3
A Khaka,T20I,0,74,6.97,24.05,40.64
Shahadat Hossain,Test,3,74,4.02,44.39,67.8
Mustafizur Rahman,IPL,5,74,8.09,24.97,37.27
Rosine Irera,T20I,7,74,3.79,9.64,62.06
JH Kallis,IPL,5,74,7.86,30.99,36.55
JP Duminy,ODI,6,74,5.42,41.39,44.8
KDU Prabodhani,T20I,0,74,5.68,19.57,50.23
Iftikhar Anjum,ODI,1,73,4.92,30.14,58.63
L Embuldeniya,Test,3,73,3.21,35.77,70.98
KTGD Prasad,Test,3,73,3.67,34.68,69.93
R Trumpelmann,ODI,1,73,4.69,24.18,63.55
Mahedi Hasan,T20I,0,73,6.78,22.26,42.84
SK Trivedi,IPL,5,73,7.54,26.08,34.85
BAW Mendis,Test,3,73,3.05,33.34,71.34
WK Dilhari,T20I,0,73,6.38,19.32,38.69
Shafiul Islam,ODI,6,73,5.97,33.74,55.21
Mohammad Sami,ODI,1,73,4.86,27.11,60.48
SA Okpe,T20I,0,73,5.75,16.62,45.85
Q Abel,T20I,7,73,4.64,8.67,58.68
