bowler,format,matches,balls,runs_given,wickets,dot_balls,wides,noballs,overs,economy,average,dot_pct,strike_rate
FDM Karunaratne,Test,15,312,210,2,199,0,0,52.0,4.04,105.0,63.78,156.0
N Simelane,T20I,3,40,50,2,18,8,4,6.7,7.5,25.0,45.0,20.0
M Paryani,T20I,1,6,3,2,5,2,0,1.0,3.0,1.5,83.33,3.0
DJ Pattinson,Test,1,182,96,2,130,0,1,30.3,3.16,48.0,71.43,91.0
MBS Jonkman,T20I,1,18,21,2,5,1,0,3.0,7.0,10.5,27.78,9.0
MC Henriques,Test,4,330,172,2,253,1,0,55.0,3.13,86.0,76.67,165.0
Suman Ghimire,T20I,3,48,72,2,15,3,0,8.0,9.0,36.0,31.25,24.0
Suraiya Azmin,ODI,3,45,57,2,26,4,1,7.5,7.6,28.5,57.78,22.5
R Johnson,T20I,2,19,34,2,8,2,1,3.2,10.74,17.0,42.11,9.5
R Kanai,T20I,4,55,50,2,26,5,1,9.2,5.45,25.0,47.27,27.5
R Khasana,T20I,2,43,68,2,17,7,1,7.2,9.49,34.0,39.53,21.5
Nilusha Waruwangodage,T20I,1,26,18,2,17,7,2,4.3,4.15,9.0,65.38,13.0
Noor Hayati Zakaria,T20I,7,133,151,2,51,11,1,22.2,6.81,75.5,38.35,66.5
Hayatullah Niazi,T20I,3,50,66,2,24,4,2,8.3,7.92,33.0,48.0,25.0
Hiba Shamshad,T20I,4,66,52,2,35,2,0,11.0,4.73,26.0,53.03,33.0
A Khullar,T20I,5,78,93,2,36,24,6,13.0,7.15,46.5,46.15,39.0
A Manousis,T20I,3,42,51,2,14,2,0,7.0,7.29,25.5,33.33,21.0
Hassan Nasir,T20I,3,60,58,2,31,3,0,10.0,5.8,29.0,51.67,30.0
Hassan Nawaz,PSL,4,36,65,2,6,0,0,6.0,10.83,32.5,16.67,18.0
Nur Alya Batrisyia,T20I,3,32,34,2,10,1,2,5.3,6.38,17.0,31.25,16.0
C Cassell,T20I,2,30,67,2,5,0,0,5.0,13.4,33.5,16.67,15.0
Kuldeep Lal,T20I,3,30,52,2,8,0,0,5.0,10.4,26.0,26.67,15.0
Kulwinderjeet Singh,T20I,1,5,7,2,4,0,0,0.8,8.4,3.5,80.0,2.5
R Mahajan,T20I,3,60,94,2,12,1,0,10.0,9.4,47.0,20.0,30.0
AJ Redmond,T20I,1,17,24,2,4,1,0,2.8,8.47,12.0,23.53,8.5
AJ Redmond,Test,4,93,73,2,60,0,3,15.5,4.71,36.5,64.52,46.5
AJ Turner,ODI,2,84,60,2,54,2,0,14.0,4.29,30.0,64.29,42.0
AJ Tye,PSL,4,90,164,2,24,2,0,15.0,10.93,82.0,26.67,45.0
M Ogawa,T20I,6,53,69,2,20,6,2,8.8,7.81,34.5,37.74,26.5
K Goud,Test,1,133,78,2,101,0,1,22.2,3.52,39.0,75.94,66.5
J Prodehl,T20I,1,24,10,2,19,0,0,4.0,2.5,5.0,79.17,12.0
J Ramanandi,ODI,6,270,210,2,125,3,0,45.0,4.67,105.0,46.3,135.0
GD Phillips,IPL,4,30,40,2,10,1,0,5.0,8.0,20.0,33.33,15.0
W Smith,T20I,1,24,39,2,8,2,0,4.0,9.75,19.5,33.33,12.0
W Sutherland,ODI,2,51,35,2,28,2,0,8.5,4.12,17.5,54.9,25.5
Humna Bilal,T20I,2,33,53,2,10,0,1,5.5,9.64,26.5,30.3,16.5
R Misra,T20I,4,44,26,2,29,4,0,7.3,3.55,13.0,65.91,22.0
BA Langston,ODI,3,138,70,2,104,0,0,23.0,3.04,35.0,75.36,69.0
Neeraj Mishra,T20I,6,102,164,2,40,10,0,17.0,9.65,82.0,39.22,51.0
M Beardman,T20I,1,25,35,2,10,1,1,4.2,8.4,17.5,40.0,12.5
H Kala,Test,1,90,49,2,54,0,0,15.0,3.27,24.5,60.0,45.0
H Karunaratne,ODI,6,97,103,2,38,4,1,16.2,6.37,51.5,39.18,48.5
H Kaushik,T20I,7,102,122,2,31,1,0,17.0,7.18,61.0,30.39,51.0
CT Tremlett,T20I,1,25,46,2,8,2,1,4.2,11.04,23.0,32.0,12.5
S Samuels,T20I,9,131,162,2,73,16,4,21.8,7.42,81.0,55.73,65.5
MD Garratt,T20I,3,47,64,2,14,2,0,7.8,8.17,32.0,29.79,23.5
DB Kotze,ODI,6,282,258,2,124,3,0,47.0,5.49,129.0,43.97,141.0
J Mulder,ODI,1,60,29,2,39,2,0,10.0,2.9,14.5,65.0,30.0
J Patraj,ODI,2,90,76,2,43,2,0,15.0,5.07,38.0,47.78,45.0
F Sisifo,T20I,3,38,55,2,15,9,2,6.3,8.68,27.5,39.47,19.0
S Saeed,T20I,3,42,54,2,20,0,0,7.0,7.71,27.0,47.62,21.0
M Campopiano,T20I,3,43,43,2,19,0,0,7.2,6.0,21.5,44.19,21.5
R Ntozakhe,T20I,10,156,221,2,47,0,0,26.0,8.5,110.5,30.13,78.0
R Panchal,T20I,7,108,108,2,62,8,0,18.0,6.0,54.0,57.41,54.0
MS Gony,ODI,2,78,78,2,44,3,0,13.0,6.0,39.0,56.41,39.0
T Britton,T20I,1,24,21,2,11,1,0,4.0,5.25,10.5,45.83,12.0
T Chabila,T20I,8,114,139,2,63,15,0,19.0,7.32,69.5,55.26,57.0
T Granger,ODI,3,96,112,2,45,12,0,16.0,7.0,56.0,46.88,48.0
K Mendon,T20I,2,36,35,2,21,4,0,6.0,5.83,17.5,58.33,18.0
K Moingoto,T20I,3,55,45,2,34,13,0,9.2,4.91,22.5,61.82,27.5
K Oala,ODI,2,61,38,2,36,1,1,10.2,3.74,19.0,59.02,30.5
Angela Busa,T20I,6,71,98,2,38,15,1,11.8,8.28,49.0,53.52,35.5
Anik Ahmed,T20I,4,54,76,2,19,3,0,9.0,8.44,38.0,35.19,27.0
K Mahato,ODI,2,78,77,2,44,7,0,13.0,5.92,38.5,56.41,39.0
Kiyo Fujikawa,T20I,5,74,62,2,29,4,2,12.3,5.03,31.0,39.19,37.0
M Elikana,T20I,1,19,6,2,17,2,1,3.2,1.89,3.0,89.47,9.5
M Faraz Akram,T20I,8,116,198,2,36,10,0,19.3,10.24,99.0,31.03,58.0
W Barresi,T20I,3,34,50,2,14,0,0,5.7,8.82,25.0,41.18,17.0
D Foxcroft,ODI,3,105,86,2,52,0,0,17.5,4.91,43.0,49.52,52.5
D Hazell,Test,2,326,178,2,231,0,8,54.3,3.28,89.0,70.86,163.0
S Mostary,ODI,13,128,139,2,55,1,1,21.3,6.52,69.5,42.97,64.0
S Naidu,T20I,6,98,112,2,44,2,2,16.3,6.86,56.0,44.9,49.0
S Nunna,T20I,6,84,106,2,23,8,0,14.0,7.57,53.0,27.38,42.0
F du Plessis,ODI,11,192,191,2,73,5,0,32.0,5.97,95.5,38.02,96.0
K Matigimu,Test,1,129,128,2,76,0,0,21.5,5.95,64.0,58.91,64.5
ND Doshi,IPL,4,56,79,2,24,1,0,9.3,8.46,39.5,42.86,28.0
NE Bolton,ODI,2,30,37,2,16,0,0,5.0,7.4,18.5,53.33,15.0
K Paskova,T20I,2,38,38,2,20,12,2,6.3,6.0,19.0,52.63,19.0
K Pierre,ODI,6,336,267,2,179,3,0,56.0,4.77,133.5,53.27,168.0
F Effiong,T20I,1,12,2,2,11,1,0,2.0,1.0,1.0,91.67,6.0
T Kobeli,T20I,5,73,112,2,22,12,1,12.2,9.21,56.0,30.14,36.5
T Koloi,T20I,3,62,91,2,25,14,2,10.3,8.81,45.5,40.32,31.0
T Lhaden,T20I,3,48,43,2,23,3,0,8.0,5.38,21.5,47.92,24.0
T Makaya,T20I,3,54,54,2,23,1,0,9.0,6.0,27.0,42.59,27.0
T Makusha,T20I,6,96,133,2,42,6,0,16.0,8.31,66.5,43.75,48.0
Vishaul Singh,T20I,2,30,42,2,13,0,0,5.0,8.4,21.0,43.33,15.0
Hwanhee Lee,T20I,1,6,6,2,3,0,0,1.0,6.0,3.0,50.0,3.0
Hyejin Park,T20I,4,36,42,2,18,16,0,6.0,7.0,21.0,50.0,18.0
Nazmul Hossain Shanto,ODI,7,101,103,2,42,2,1,16.8,6.12,51.5,41.58,50.5
B Wani,T20I,4,63,64,2,22,10,15,10.5,6.1,32.0,34.92,31.5
Khan Arbaaz,T20I,2,19,20,2,8,3,1,3.2,6.32,10.0,42.11,9.5
B Yadav,T20I,8,55,89,2,21,6,0,9.2,9.71,44.5,38.18,27.5
R Sewwandi,T20I,2,36,71,2,11,6,0,6.0,11.83,35.5,30.56,18.0
GH Lewis,T20I,5,68,86,2,23,4,2,11.3,7.59,43.0,33.82,34.0
F Martin,T20I,3,32,35,2,14,10,4,5.3,6.56,17.5,43.75,16.0
F Najjumba,T20I,3,66,49,2,31,0,0,11.0,4.45,24.5,46.97,33.0
K Reyneke,ODI,2,67,72,2,28,0,1,11.2,6.45,36.0,41.79,33.5
K Schultz,ODI,1,42,52,2,15,0,0,7.0,7.43,26.0,35.71,21.0
K Sonavale,ODI,2,15,4,2,12,0,0,2.5,1.6,2.0,80.0,7.5
S Lundell,T20I,2,26,33,2,13,2,2,4.3,7.62,16.5,50.0,13.0
C van der Westhuizen,T20I,1,24,12,2,19,1,0,4.0,3.0,6.0,79.17,12.0
T Martin,T20I,2,32,50,2,10,4,2,5.3,9.38,25.0,31.25,16.0
H Dhami,T20I,2,30,41,2,15,0,0,5.0,8.2,20.5,50.0,15.0
Kaung Htet Kyaw,T20I,6,78,104,2,38,8,0,13.0,8.0,52.0,48.72,39.0
B Regmi,ODI,2,66,50,2,36,1,0,11.0,4.55,25.0,54.55,33.0
H Durham,ODI,1,58,48,2,35,4,0,9.7,4.97,24.0,60.34,29.0
A Ndlovu,T20I,7,126,177,2,47,1,0,21.0,8.43,88.5,37.3,63.0
DC Drakes,ODI,3,114,83,2,90,11,0,19.0,4.37,41.5,78.95,57.0
NJ Qaeze,T20I,1,12,15,2,7,2,0,2.0,7.5,7.5,58.33,6.0
S Lackay,T20I,1,24,59,2,4,0,0,4.0,14.75,29.5,16.67,12.0
S Lateh,T20I,3,49,65,2,25,5,1,8.2,7.96,32.5,51.02,24.5
ME Bessala,T20I,7,78,99,2,35,12,0,13.0,7.62,49.5,44.87,39.0
AJ Kenealy,T20I,11,163,198,2,70,7,1,27.2,7.29,99.0,42.94,81.5
B Mosoaboli,T20I,3,54,57,2,27,10,0,9.0,6.33,28.5,50.0,27.0
DM Braat,ODI,2,96,78,2,56,7,0,16.0,4.88,39.0,58.33,48.0
VRB Arachchige,T20I,4,54,84,2,15,2,0,9.0,9.33,42.0,27.78,27.0
I Master,T20I,3,30,56,2,7,3,0,5.0,11.2,28.0,23.33,15.0
AJ McKay,T20I,2,35,32,2,18,0,1,5.8,5.49,16.0,51.43,17.5
J Little,PSL,3,60,104,2,22,2,0,10.0,10.4,52.0,36.67,30.0
J Louw,T20I,2,43,54,2,17,4,1,7.2,7.53,27.0,39.53,21.5
T Ruma,ODI,2,42,30,2,28,3,0,7.0,4.29,15.0,66.67,21.0
NJ Shaw,T20I,2,49,57,2,18,0,1,8.2,6.98,28.5,36.73,24.5
S Jamil,T20I,5,52,84,2,18,2,0,8.7,9.69,42.0,34.62,26.0
Aphsal Ashraf,T20I,1,24,35,2,7,0,0,4.0,8.75,17.5,29.17,12.0
Arafat Minhas,T20I,3,55,56,2,30,1,1,9.2,6.11,28.0,54.55,27.5
S Kakai,T20I,1,18,10,2,13,1,0,3.0,3.33,5.0,72.22,9.0
S Khadka,T20I,6,48,39,2,32,4,0,8.0,4.88,19.5,66.67,24.0
T Sangha,ODI,4,174,200,2,65,0,0,29.0,6.9,100.0,37.36,87.0
T Skordili,T20I,1,12,7,2,9,1,0,2.0,3.5,3.5,75.0,6.0
MT Diaby,T20I,2,15,17,2,8,1,0,2.5,6.8,8.5,53.33,7.5
I Rodriguez,T20I,2,25,29,2,18,8,1,4.2,6.96,14.5,72.0,12.5
A Ndlovu,Test,2,420,281,2,270,0,0,70.0,4.01,140.5,64.29,210.0
A Nel,T20I,2,48,43,2,23,0,0,8.0,5.38,21.5,47.92,24.0
E Robinson,T20I,2,36,59,2,6,2,0,6.0,9.83,29.5,16.67,18.0
Kashif Ali,Test,1,65,41,2,39,0,5,10.8,3.78,20.5,60.0,32.5
Mobashar Ashraf,T20I,2,24,25,2,13,0,0,4.0,6.25,12.5,54.17,12.0
Mohamed Coulibaly,T20I,4,43,77,2,18,8,2,7.2,10.74,38.5,41.86,21.5
S Hussein,T20I,3,68,69,2,40,6,1,11.3,6.09,34.5,58.82,34.0
DJ Worrall,ODI,3,158,173,2,88,4,0,26.3,6.57,86.5,55.7,79.0
DK Butler,ODI,4,202,162,2,119,5,4,33.7,4.81,81.0,58.91,101.0
DK Mathias,T20I,7,84,116,2,28,5,0,14.0,8.29,58.0,33.33,42.0
NJ Shaw,ODI,2,121,45,2,92,1,1,20.2,2.23,22.5,76.03,60.5
Chinyenum George,T20I,2,26,28,2,12,0,0,4.3,6.46,14.0,46.15,13.0
A Orfila,T20I,4,74,102,2,23,4,2,12.3,8.27,51.0,31.08,37.0
A Prince,T20I,4,56,44,2,30,5,2,9.3,4.71,22.0,53.57,28.0
MS Panesar,T20I,1,24,40,2,7,0,0,4.0,10.0,20.0,29.17,12.0
RD Pangestuti,T20I,8,91,75,2,54,12,1,15.2,4.95,37.5,59.34,45.5
RG Sharma,Test,11,383,228,2,248,0,0,63.8,3.57,114.0,64.75,191.5
J Intan,T20I,4,50,57,2,21,6,2,8.3,6.84,28.5,42.0,25.0
KC Hodsoll,T20I,1,18,20,2,9,0,0,3.0,6.67,10.0,50.0,9.0
KC Thompson,ODI,4,125,72,2,90,8,0,20.8,3.46,36.0,72.0,62.5
F Bangur,T20I,6,87,108,2,33,8,3,14.5,7.45,54.0,37.93,43.5
K Yadav,IPL,3,54,85,2,14,0,0,9.0,9.44,42.5,25.93,27.0
KA Maharaj,IPL,2,36,39,2,11,0,0,6.0,6.5,19.5,30.56,18.0
AF Mapu,T20I,11,118,115,2,72,20,4,19.7,5.85,57.5,61.02,59.0
T Zotos,T20I,2,27,30,2,13,3,3,4.5,6.67,15.0,48.15,13.5
J Erdenesuvd,T20I,8,153,186,2,47,10,3,25.5,7.29,93.0,30.72,76.5
ME Trescothick,ODI,7,151,149,2,73,4,1,25.2,5.92,74.5,48.34,75.5
KADM Fernando,ODI,1,42,13,2,36,1,0,7.0,1.86,6.5,85.71,21.0
KAR Hodge,ODI,4,108,113,2,56,1,0,18.0,6.28,56.5,51.85,54.0
H Deol,ODI,6,91,81,2,41,3,1,15.2,5.34,40.5,45.05,45.5
E Mmese,T20I,5,48,34,2,32,9,0,8.0,4.25,17.0,66.67,24.0
E Moiane,T20I,2,25,16,2,17,3,1,4.2,3.84,8.0,68.0,12.5
E Packard,T20I,6,108,144,2,48,5,0,18.0,8.0,72.0,44.44,54.0
Nanthita Boonsukham,T20I,5,62,69,2,27,3,2,10.3,6.68,34.5,43.55,31.0
Naseem Khan,T20I,5,54,85,2,23,2,0,9.0,9.44,42.5,42.59,27.0
Nasir Aziz,ODI,3,156,147,2,74,0,0,26.0,5.65,73.5,47.44,78.0
MW Machan,T20I,3,72,81,2,24,0,0,12.0,6.75,40.5,33.33,36.0
DA Payne,IPL,2,30,70,2,5,1,0,5.0,14.0,35.0,16.67,15.0
DA Payne,ODI,1,54,41,2,34,3,0,9.0,4.56,20.5,62.96,27.0
J Edmiston,T20I,2,24,39,2,12,21,0,4.0,9.75,19.5,50.0,12.0
GI Hume,Test,3,300,216,2,205,0,0,50.0,4.32,108.0,68.33,150.0
C Sakariya,ODI,1,50,34,2,32,1,2,8.3,4.08,17.0,64.0,25.0
Asad Ali,ODI,4,180,120,2,126,3,0,30.0,4.0,60.0,70.0,90.0
S Devata,T20I,1,8,9,2,3,4,2,1.3,6.75,4.5,37.5,4.0
Nauman Ali,PSL,4,67,89,2,26,1,1,11.2,7.97,44.5,38.81,33.5
C Floyd,T20I,4,66,102,2,26,0,0,11.0,9.27,51.0,39.39,33.0
RJ Gleeson,IPL,3,69,111,2,25,4,1,11.5,9.65,55.5,36.23,34.5
B Laughlin,T20I,3,71,123,2,27,1,0,11.8,10.39,61.5,38.03,35.5
B Lekau,T20I,4,91,134,2,42,23,1,15.2,8.84,67.0,46.15,45.5
RJ Pierre,T20I,6,72,116,2,24,4,0,12.0,9.67,58.0,33.33,36.0
B Geeves,T20I,1,21,35,2,7,0,1,3.5,10.0,17.5,33.33,10.5
B George,T20I,6,76,132,2,23,8,1,12.7,10.42,66.0,30.26,38.0
H Beresford-Peirse,T20I,3,56,94,2,22,3,2,9.3,10.07,47.0,39.29,28.0
H Carlyon,ODI,4,180,141,2,103,3,0,30.0,4.7,70.5,57.22,90.0
H Dandapani,T20I,3,42,63,2,10,4,0,7.0,9.0,31.5,23.81,21.0
S Cholasseri,T20I,3,66,90,2,29,7,2,11.0,8.18,45.0,43.94,33.0
Ehsanul Haque,ODI,1,60,37,2,32,1,0,10.0,3.7,18.5,53.33,30.0
Elias Hasan,T20I,6,92,159,2,31,2,2,15.3,10.37,79.5,33.7,46.0
Emaan Ejaz,T20I,3,63,142,2,12,14,9,10.5,13.52,71.0,19.05,31.5
Aryan Lakra,T20I,3,42,46,2,14,0,0,7.0,6.57,23.0,33.33,21.0
TJ Heggelman,ODI,1,42,34,2,21,0,0,7.0,4.86,17.0,50.0,21.0
TJ Stephenson,T20I,2,24,32,2,9,1,0,4.0,8.0,16.0,37.5,12.0
TJG Pringle,ODI,4,199,222,2,82,1,0,33.2,6.69,111.0,41.21,99.5
Nahid Rana,T20I,1,26,50,2,11,2,2,4.3,11.54,25.0,42.31,13.0
C Liebenberg,T20I,3,48,81,2,15,0,0,8.0,10.12,40.5,31.25,24.0
Madeeha Zuberi,T20I,5,69,55,2,33,6,0,11.5,4.78,27.5,47.83,34.5
V Kaverappa,IPL,1,24,36,2,11,0,0,4.0,9.0,18.0,45.83,12.0
I van der Woning,ODI,5,122,140,2,75,20,2,20.3,6.89,70.0,61.48,61.0
TK Canning,ODI,2,84,64,2,53,0,0,14.0,4.57,32.0,63.1,42.0
C Viljoen,ODI,2,30,14,2,21,2,0,5.0,2.8,7.0,70.0,15.0
S Campbell,Test,1,108,71,2,78,1,0,18.0,3.94,35.5,72.22,54.0
S Chaturongrattana,ODI,4,126,118,2,61,3,0,21.0,5.62,59.0,48.41,63.0
J Chirila,T20I,4,84,85,2,52,19,0,14.0,6.07,42.5,61.9,42.0
TK Curran,Test,2,397,201,2,289,1,1,66.2,3.04,100.5,72.8,198.5
AC Voges,T20I,1,12,5,2,7,0,0,2.0,2.5,2.5,58.33,6.0
KE Broadmore,T20I,5,84,86,2,39,3,0,14.0,6.14,43.0,46.43,42.0
KE Ebrahim,T20I,4,36,49,2,13,0,0,6.0,8.17,24.5,36.11,18.0
M Labuschagne,PSL,5,56,102,2,10,1,2,9.3,10.93,51.0,17.86,28.0
M Landsman,T20I,1,24,12,2,17,1,0,4.0,3.0,6.0,70.83,12.0
V Barboza,T20I,4,61,80,2,30,15,1,10.2,7.87,40.0,49.18,30.5
IG Butler,Test,1,242,128,2,180,3,2,40.3,3.17,64.0,74.38,121.0
Ghulam Fatima,T20I,5,99,110,2,39,3,1,16.5,6.67,55.0,39.39,49.5
Gong Yuting,T20I,5,65,49,2,35,7,5,10.8,4.52,24.5,53.85,32.5
MW Short,ODI,14,294,303,2,123,6,0,49.0,6.18,151.5,41.84,147.0
Maaz Khan,PSL,3,42,76,2,12,1,0,7.0,10.86,38.0,28.57,21.0
Maaz Sadaqat,PSL,3,36,38,2,14,2,0,6.0,6.33,19.0,38.89,18.0
KT Maphaka,IPL,4,66,148,2,24,5,0,11.0,13.45,74.0,36.36,33.0
E Schiferli,T20I,4,90,114,2,32,3,0,15.0,7.6,57.0,35.56,45.0
RK Whelan,ODI,2,90,105,2,50,5,0,15.0,7.0,52.5,55.56,45.0
Rumaisa Jawad Nasir,T20I,2,36,56,2,9,2,0,6.0,9.33,28.0,25.0,18.0
Rupesh Singh,T20I,3,60,100,2,22,5,0,10.0,10.0,50.0,36.67,30.0
S Arachchige,T20I,2,24,26,2,9,0,0,4.0,6.5,13.0,37.5,12.0
Meghna Singh,Test,1,127,68,2,94,1,1,21.2,3.21,34.0,74.02,63.5
Mehrab Hossain jnr,Test,5,293,212,2,172,0,0,48.8,4.34,106.0,58.7,146.5
Memoona Riaz,T20I,2,31,22,2,18,5,1,5.2,4.26,11.0,58.06,15.5
AD Janakanthymala,ODI,2,67,47,2,38,0,1,11.2,4.21,23.5,56.72,33.5
TL Moreki,Test,2,402,206,2,312,3,4,67.0,3.07,103.0,77.61,201.0
AC Brodin,T20I,2,31,31,2,20,10,1,5.2,6.0,15.5,64.52,15.5
AC Dawson,ODI,6,240,211,2,110,5,0,40.0,5.28,105.5,45.83,120.0
Gurdeep Singh,T20I,3,36,57,2,13,0,0,6.0,9.5,28.5,36.11,18.0
IL Parks,T20I,1,6,8,2,6,8,0,1.0,8.0,4.0,100.0,3.0
RL Haynes,ODI,2,24,34,2,9,0,0,4.0,8.5,17.0,37.5,12.0
B Evans,Test,1,219,116,2,149,1,3,36.5,3.18,58.0,68.04,109.5
B Fernando,ODI,3,153,140,2,78,6,1,25.5,5.49,70.0,50.98,76.5
B Geeves,IPL,2,48,91,2,15,1,0,8.0,11.38,45.5,31.25,24.0
RM Hill,T20I,1,12,9,2,5,1,0,2.0,4.5,4.5,41.67,6.0
V Atanasova,T20I,5,77,140,2,24,36,13,12.8,10.91,70.0,31.17,38.5
Robiul Islam,ODI,3,133,123,2,75,7,0,22.2,5.55,61.5,56.39,66.5
Ashfaq Ahmed,T20I,2,36,34,2,13,1,0,6.0,5.67,17.0,36.11,18.0
KH Pandya,ODI,5,228,224,2,103,6,0,38.0,5.89,112.0,45.18,114.0
Edward Taylor,T20I,2,39,43,2,20,3,3,6.5,6.62,21.5,51.28,19.5
TOW Chu,T20I,4,38,43,2,11,1,2,6.3,6.79,21.5,28.95,19.0
A Tector,ODI,5,151,170,2,84,6,1,25.2,6.75,85.0,55.63,75.5
A Tripathi,T20I,2,12,26,2,5,1,0,2.0,13.0,13.0,41.67,6.0
Maira Khan,T20I,5,90,184,2,24,29,6,15.0,12.27,92.0,26.67,45.0
RM Magare,T20I,5,96,116,2,33,6,0,16.0,7.25,58.0,34.38,48.0
EF Faalupega,T20I,1,24,24,2,8,0,0,4.0,6.0,12.0,33.33,12.0
KR Mayers,T20I,14,120,197,2,47,8,0,20.0,9.85,98.5,39.17,60.0
M Jenkinson,T20I,2,36,51,2,11,1,0,6.0,8.5,25.5,30.56,18.0
M Joshi,T20I,6,121,145,2,56,2,1,20.2,7.19,72.5,46.28,60.5
Malyun Hassan,T20I,3,44,32,2,27,7,2,7.3,4.36,16.0,61.36,22.0
GJ van Rensburg,T20I,5,42,55,2,13,2,0,7.0,7.86,27.5,30.95,21.0
KJ Abbott,IPL,5,97,182,2,30,5,1,16.2,11.26,91.0,30.93,48.5
KJ Coetzer,T20I,1,18,16,2,8,0,0,3.0,5.33,8.0,44.44,9.0
KJ McCartney,ODI,1,62,76,2,28,10,2,10.3,7.35,38.0,45.16,31.0
Rithika Sriram,T20I,3,67,72,2,23,16,1,11.2,6.45,36.0,34.33,33.5
GJP Kruger,ODI,3,142,143,2,82,8,4,23.7,6.04,71.5,57.75,71.0
GK Davis,ODI,1,23,19,2,14,1,0,3.8,4.96,9.5,60.87,11.5
TP Kanwar,ODI,2,108,75,2,70,1,0,18.0,4.17,37.5,64.81,54.0
AA Noffke,ODI,1,54,47,2,32,0,0,9.0,5.22,23.5,59.26,27.0
A Wellington,Test,1,342,137,2,259,0,0,57.0,2.4,68.5,75.73,171.0
A van der Merwe,ODI,3,126,79,2,76,0,0,21.0,3.76,39.5,60.32,63.0
UWMBCA Welegedara,T20I,2,37,62,2,11,2,1,6.2,10.05,31.0,29.73,18.5
KR Sen,ODI,1,30,37,2,16,3,0,5.0,7.4,18.5,53.33,15.0
KS Airee,ODI,3,114,110,2,62,6,0,19.0,5.79,55.0,54.39,57.0
KS Lokuarachchi,T20I,2,36,48,2,14,3,0,6.0,8.0,24.0,38.89,18.0
IP Swaney,T20I,6,42,99,2,11,0,0,7.0,14.14,49.5,26.19,21.0
GSNFG Jayasuriya,ODI,10,276,259,2,111,2,0,46.0,5.63,129.5,40.22,138.0
NMS Param,T20I,3,48,57,2,16,1,0,8.0,7.12,28.5,33.33,24.0
Raza Hasan,ODI,1,60,68,2,33,2,0,10.0,6.8,34.0,55.0,30.0
Raza-ur-Rehman,T20I,3,54,58,2,21,0,0,9.0,6.44,29.0,38.89,27.0
Asif Ali,PSL,1,18,27,2,3,0,0,3.0,9.0,13.5,16.67,9.0
Ravinderpal Singh,T20I,3,25,29,2,12,1,0,4.2,6.96,14.5,48.0,12.5
NM Carter,T20I,3,66,97,2,24,0,0,11.0,8.82,48.5,36.36,33.0
EE Corder,T20I,3,54,67,2,17,3,0,9.0,7.44,33.5,31.48,27.0
KN Gabhane,T20I,1,18,29,2,7,0,0,3.0,9.67,14.5,38.89,9.0
AA Hussein,T20I,2,37,55,2,13,3,1,6.2,8.92,27.5,35.14,18.5
NM Cherriath,T20I,3,30,42,2,4,0,0,5.0,8.4,21.0,13.33,15.0
NM Hauritz,T20I,2,44,48,2,20,1,0,7.3,6.55,24.0,45.45,22.0
NM Odhiambo,ODI,1,60,39,2,39,1,0,10.0,3.9,19.5,65.0,30.0
Mayank Dagar,IPL,8,137,205,2,44,1,0,22.8,8.98,102.5,32.12,68.5
Mayank Nagayach,T20I,7,150,192,2,56,3,0,25.0,7.68,96.0,37.33,75.0
Md Shafiqul Haque,T20I,1,18,26,2,5,0,0,3.0,8.67,13.0,27.78,9.0
TR Gripper,ODI,2,48,39,2,25,1,0,8.0,4.88,19.5,52.08,24.0
TR Gripper,Test,3,189,161,2,111,0,0,31.5,5.11,80.5,58.73,94.5
TRR Sharfudheen,T20I,2,49,48,2,18,12,1,8.2,5.88,24.0,36.73,24.5
Inam-ul-Haq,T20I,3,60,82,2,24,0,0,10.0,8.2,41.0,40.0,30.0
Tushar Imran,ODI,3,90,59,2,40,0,0,15.0,3.93,29.5,44.44,45.0
U Bhagwan,T20I,4,72,119,2,26,3,0,12.0,9.92,59.5,36.11,36.0
KN Singh,T20I,4,60,78,2,25,3,0,10.0,7.8,39.0,41.67,30.0
RR Joshi,ODI,1,60,77,2,21,3,0,10.0,7.7,38.5,35.0,30.0
RR Patel,ODI,3,84,69,2,40,0,0,14.0,4.93,34.5,47.62,42.0
RR Rossouw,PSL,3,16,18,2,7,0,0,2.7,6.75,9.0,43.75,8.0
RR Sarwan,T20I,1,12,10,2,7,0,0,2.0,5.0,5.0,58.33,6.0
IT Guha,T20I,2,48,53,2,21,1,0,8.0,6.62,26.5,43.75,24.0
IW Budiarta,T20I,3,54,54,2,23,3,0,9.0,6.0,27.0,42.59,27.0
KK Peters,Test,1,120,70,2,97,0,0,20.0,3.5,35.0,80.83,60.0
EMDY Munaweera,T20I,5,60,93,2,15,4,0,10.0,9.3,46.5,25.0,30.0
TU Deshpande,T20I,2,36,55,2,17,1,0,6.0,9.17,27.5,47.22,18.0
TW Hamid,T20I,1,3,1,2,2,0,0,0.5,2.0,0.5,66.67,1.5
Rabia Sahan,T20I,2,25,24,2,13,8,1,4.2,5.76,12.0,52.0,12.5
Raja Farzan,PSL,2,36,36,2,20,2,0,6.0,6.0,18.0,55.56,18.0
C Munro,Test,1,108,40,2,87,0,0,18.0,2.22,20.0,80.56,54.0
RS Bopara,Test,8,441,295,2,279,1,7,73.5,4.01,147.5,63.27,220.5
M Kearvell,T20I,4,54,82,2,24,15,1,9.0,9.11,41.0,44.44,27.0
